image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.06695413962006569,879.51220703125,12.76171875,DeepLiftShap,efficientnet-b0,ImageNet,1
1,0.06738270819187164,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
2,0.07037389650940895,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
3,0.0967133492231369,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
4,0.10262984037399292,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
5,0.06691178679466248,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
6,0.06756924092769623,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
7,0.07593090459704399,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
8,0.06713735312223434,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
9,0.08819752931594849,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
10,0.07115986943244934,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
11,0.06747394427657127,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
12,0.07445159554481506,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
13,0.06745202466845512,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
14,0.08893163874745369,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
15,0.08041484653949738,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
16,0.08662166818976402,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
17,0.07476004585623741,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
18,0.07852619141340256,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
19,0.08274799957871437,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
20,0.08380639180541039,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
21,0.07717069610953331,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
22,0.10131990909576416,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
23,0.09859767556190491,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
24,0.07465555146336555,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
25,0.08500146493315697,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
26,0.07291818782687187,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
27,0.07669036090373993,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
28,0.06923077255487442,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
29,0.07036137580871582,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
30,0.096095722168684,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
31,0.07176690921187401,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
32,0.0729471817612648,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
33,0.07537994161248207,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
34,0.07846101373434067,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
35,0.08021402359008789,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
36,0.07864456996321678,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
37,0.07873715832829475,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
38,0.06617655232548714,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
39,0.08379928395152092,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
40,0.09608227387070656,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
41,0.06949565932154655,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
42,0.0690552107989788,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
43,0.0676184706389904,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
44,0.07452098652720451,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
45,0.06990879401564598,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
46,0.06942570209503174,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
47,0.0699191577732563,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
48,0.0759490616619587,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
49,0.06805789470672607,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
50,0.0778908021748066,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
51,0.0795951560139656,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
52,0.07226904854178429,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
53,0.0885705016553402,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
54,0.07094783335924149,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
55,0.07192542776465416,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
56,0.06731169298291206,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
57,0.07487136498093605,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
58,0.07287481799721718,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
59,0.06689462810754776,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
60,0.07759242504835129,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
61,0.0772128701210022,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
62,0.0783710740506649,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
63,0.08512724190950394,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
64,0.06892441213130951,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
65,0.07883558049798012,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
66,0.07010403275489807,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
67,0.06646020337939262,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
68,0.0658421441912651,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
69,0.07172828912734985,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
70,0.07032079622149467,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
71,0.07636556029319763,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
72,0.0691443644464016,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
73,0.06882530078291893,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
74,0.071466825902462,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
75,0.08614203333854675,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
76,0.08345945551991463,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
77,0.06899183616042137,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
78,0.06860528141260147,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
79,0.07301419228315353,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
80,0.07549314573407173,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
81,0.0751224234700203,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
82,0.0673990249633789,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
83,0.07394325360655785,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
84,0.10762932151556015,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
85,0.08227396756410599,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
86,0.07399722933769226,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
87,0.06542614102363586,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
88,0.0677039884030819,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
89,0.0790354311466217,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
90,0.08529249578714371,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
91,0.07082512229681015,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
92,0.06502882018685341,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
93,0.10829014331102371,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
94,0.07225532829761505,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
95,0.07626482471823692,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
96,0.06802050024271011,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
97,0.0705772340297699,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
98,0.09258796274662018,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
99,0.0924752913415432,878.80908203125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
