image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.02844671905040741,877.50830078125,12.05859375,DeepLiftShap,efficientnet-b0,ImageNet,1
1,0.04006529226899147,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
2,0.04061214253306389,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
3,0.048815563321113586,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
4,0.03513924404978752,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
5,0.034646838903427124,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
6,0.035432517528533936,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
7,0.04412082955241203,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
8,0.042457517236471176,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
9,0.04952353239059448,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
10,0.04322044178843498,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
11,0.04135192558169365,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
12,0.04729743301868439,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
13,0.04213462397456169,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
14,0.04989922419190407,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
15,0.05362103134393692,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
16,0.049959149211645126,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
17,0.050060488283634186,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
18,0.050232164561748505,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
19,0.058360617607831955,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
20,0.049715060740709305,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
21,0.056810829788446426,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
22,0.05800760164856911,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
23,0.05262124165892601,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
24,0.05152640491724014,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
25,0.05025866627693176,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
26,0.052707232534885406,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
27,0.05468843877315521,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
28,0.05859356373548508,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
29,0.059440236538648605,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
30,0.05194460228085518,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
31,0.05297420546412468,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
32,0.049105897545814514,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
33,0.0518275685608387,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
34,0.04807436466217041,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
35,0.05009394511580467,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
36,0.04410051181912422,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
37,0.05017264932394028,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
38,0.05378442630171776,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
39,0.0511147640645504,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
40,0.05842175707221031,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
41,0.05284958332777023,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
42,0.06086014211177826,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
43,0.05608105659484863,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
44,0.04543381184339523,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
45,0.06389902159571648,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
46,0.04966187849640846,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
47,0.04996597394347191,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
48,0.049455076456069946,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
49,0.05224716290831566,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
50,0.04971378296613693,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
51,0.06279455870389938,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
52,0.05372273549437523,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
53,0.05150844156742096,879.14599609375,12.57421875,DeepLiftShap,efficientnet-b0,ImageNet,1
