image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.047376133501529694,957.32080078125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
1,0.06070055812597275,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
2,0.059052616357803345,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
3,0.06683539971709251,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
4,0.060277216136455536,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
5,0.06362343952059746,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
6,0.05473979189991951,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
7,0.055258139967918396,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
8,0.05604604259133339,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
9,0.05209098383784294,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
10,0.06864209473133087,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
11,0.055200472474098206,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
12,0.05325109139084816,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
13,0.06550019979476929,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
14,0.06075665354728699,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
15,0.0551832839846611,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
16,0.056504473090171814,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
17,0.058624472469091415,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
18,0.05376991257071495,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
19,0.05577390640974045,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
20,0.05949338898062706,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
21,0.054708242416381836,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
22,0.05273357778787613,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
23,0.059052564203739166,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
24,0.06083548814058304,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
25,0.05349062755703926,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
26,0.06415215134620667,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
27,0.05441481992602348,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
28,0.05466499552130699,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
29,0.05404426530003548,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
30,0.05317215248942375,958.19970703125,12.05859375,DeepLiftShap,resnet50,CIFAR10,1
