image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04259689897298813,956.84814453125,12.66015625,DeepLiftShap,resnet50,ImageNet,1
1,0.06282519176602364,957.07470703125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
2,0.05319053307175636,958.41845703125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
3,0.0547604076564312,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
4,0.054106466472148895,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
5,0.05422886461019516,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
6,0.05605500936508179,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
7,0.05638320744037628,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
8,0.05345926806330681,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
9,0.056352123618125916,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
10,0.05525713786482811,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
11,0.0531836561858654,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
12,0.06285572797060013,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
13,0.05300403758883476,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
14,0.051294319331645966,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
15,0.0507013164460659,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
16,0.04984818026423454,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
17,0.05828667804598808,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
18,0.05422114208340645,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
19,0.0537073090672493,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
20,0.06416507065296173,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
21,0.050056539475917816,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
22,0.065004613250494,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
23,0.05362870171666145,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
24,0.05205606296658516,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
25,0.05668143182992935,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
26,0.05179661884903908,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
27,0.051424410194158554,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
28,0.05294077843427658,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
29,0.05019579082727432,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
30,0.05598926544189453,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
31,0.056780003011226654,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
32,0.05150569602847099,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
33,0.05752184987068176,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
34,0.05166452378034592,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
35,0.05269668251276016,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
36,0.05224993824958801,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
37,0.05555828660726547,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
38,0.05131837725639343,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
39,0.054991524666547775,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
40,0.05449207127094269,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
41,0.05387498065829277,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
42,0.05588575825095177,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
43,0.05442551150918007,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
44,0.05627533420920372,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
45,0.055815987288951874,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
46,0.05254720523953438,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
47,0.052157893776893616,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
48,0.053220707923173904,959.96533203125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
