image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.049624793231487274,941.46923828125,12.06640625,DeepLiftShap,resnet50,ImageNet,1
1,0.029963091015815735,941.46142578125,12.84765625,DeepLiftShap,resnet50,ImageNet,1
2,0.03687595576047897,941.35986328125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
3,0.028500206768512726,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
4,0.045296747237443924,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
5,0.029263049364089966,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
6,0.03087255358695984,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
7,0.029520243406295776,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
8,0.030132196843624115,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
9,0.02933196723461151,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
10,0.028255004435777664,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
11,0.028070226311683655,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
12,0.027722623199224472,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
13,0.028153784573078156,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
14,0.027652889490127563,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
15,0.024515409022569656,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
16,0.0247567817568779,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
17,0.03200636804103851,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
18,0.026946160942316055,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
19,0.027766991406679153,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
20,0.03263120353221893,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
21,0.027016814798116684,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
22,0.028785254806280136,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
23,0.032067980617284775,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
24,0.024987973272800446,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
25,0.02864684909582138,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
26,0.03220760077238083,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
27,0.02931327372789383,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
28,0.028972111642360687,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
29,0.030772633850574493,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
30,0.027910929173231125,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
31,0.028101973235607147,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
32,0.02830766886472702,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
33,0.029449235647916794,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
34,0.026606928557157516,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
35,0.027473587542772293,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
36,0.028092820197343826,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
37,0.029202301055192947,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
38,0.029706448316574097,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
39,0.027348559349775314,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
40,0.030094008892774582,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
41,0.029568322002887726,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
42,0.029862191528081894,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
43,0.02958083152770996,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
44,0.03102525696158409,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
45,0.02970775216817856,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
46,0.028932858258485794,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
47,0.02878214418888092,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
48,0.02926528826355934,942.21923828125,12.05859375,DeepLiftShap,resnet50,ImageNet,1
