image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.035199593752622604,940.28564453125,12.3828125,DeepLiftShap,resnet50,STL10,1
1,0.04721502214670181,940.64892578125,12.85546875,DeepLiftShap,resnet50,STL10,1
2,0.04994317516684532,940.71142578125,12.44140625,DeepLiftShap,resnet50,STL10,1
3,0.043155450373888016,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
4,0.042276594787836075,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
5,0.040660448372364044,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
6,0.04726463928818703,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
7,0.04963288456201553,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
8,0.05046816170215607,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
9,0.05202990397810936,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
10,0.052788931876420975,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
11,0.05179912969470024,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
12,0.0500401072204113,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
13,0.049241844564676285,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
14,0.05135487765073776,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
15,0.04969099909067154,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
16,0.05152492970228195,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
17,0.05195774883031845,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
18,0.04847709834575653,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
19,0.04239821061491966,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
20,0.04004864767193794,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
21,0.04562535509467125,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
22,0.050567686557769775,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
23,0.04520121589303017,940.15673828125,12.05859375,DeepLiftShap,resnet50,STL10,1
