image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.09782072901725769,1550.71728515625,12.81640625,DeepLiftShap,vit-b-16,STL10,1
1,0.11021067947149277,1550.64501953125,12.05859375,DeepLiftShap,vit-b-16,STL10,1
2,0.10033036023378372,1549.95947265625,12.05859375,DeepLiftShap,vit-b-16,STL10,1
3,0.10047714039683342,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
4,0.10155054181814194,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
5,0.10020410269498825,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
6,0.10098225623369217,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
7,0.09682943671941757,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
8,0.10502933710813522,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
9,0.10023830831050873,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
10,0.0995289608836174,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
11,0.09831566736102104,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
12,0.10221478715538979,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
13,0.0928136482834816,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
14,0.09360351413488388,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
15,0.09386540204286575,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
16,0.09338495507836342,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
17,0.09289208427071571,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
18,0.0935809276998043,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
19,0.09194338321685791,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
20,0.09768764302134514,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
21,0.10548888146877289,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
22,0.09702439606189728,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
23,0.09908976405858994,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
24,0.10422001406550407,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
25,0.0924341268837452,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
26,0.09901633486151695,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
27,0.10796061158180237,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
28,0.09851380810141563,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
29,0.11434171721339226,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
30,0.10720772668719292,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
31,0.10095209628343582,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
32,0.09560021758079529,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
33,0.09654844924807549,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
34,0.10104703530669212,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
35,0.10143088176846504,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
36,0.10239610448479652,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
37,0.0931185707449913,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
38,0.09531784802675247,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
39,0.10132956504821777,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
40,0.09429033473134041,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
41,0.0949525311589241,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
42,0.09397360682487488,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
43,0.09577120840549469,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
44,0.09438379481434822,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
45,0.09530415385961533,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
46,0.108638234436512,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
47,0.1002466157078743,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
48,0.09845205768942833,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
49,0.10280326381325722,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
50,0.1004866287112236,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
51,0.09791401773691177,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
52,0.10341673716902733,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
53,0.10678354650735855,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
54,0.09873740002512932,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
55,0.0979238823056221,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
56,0.09444177150726318,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
57,0.09448244050145149,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
58,0.09070202708244324,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
59,0.1022217832505703,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
60,0.10511530563235283,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
61,0.11112342402338982,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
62,0.10165935009717941,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
63,0.10690809413790703,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
64,0.10081706941127777,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
65,0.10016563534736633,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
66,0.1011274866759777,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
67,0.0978357084095478,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
68,0.10014858841896057,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
69,0.09937717393040657,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
70,0.10241663828492165,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
71,0.1006617471575737,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
72,0.09274766221642494,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
73,0.0985582061111927,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
74,0.0940794050693512,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
75,0.104116041213274,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
76,0.1025494746863842,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
77,0.10833179578185081,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
78,0.10668329149484634,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
79,0.10034486651420593,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
80,0.09860484674572945,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
81,0.1020091138780117,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
82,0.10956769436597824,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
83,0.10629869997501373,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
84,0.0972207672894001,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
85,0.10005970671772957,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
86,0.10033407434821129,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
87,0.10229858011007309,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
88,0.10016464069485664,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
89,0.1055699810385704,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
90,0.10076701268553734,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
91,0.097205501049757,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
92,0.10693664476275444,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
93,0.10033616796135902,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
94,0.09628313407301903,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
95,0.10463012754917145,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
96,0.10594422370195389,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
97,0.10026087611913681,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
98,0.10099992901086807,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
99,0.09297160059213638,1550.70361328125,12.1171875,DeepLiftShap,vit-b-16,STL10,1
