image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.025507982820272446,114.15966796875,109.75341796875,Grad_CAM,convnext-t,CIFAR10,1
1,0.0221860371530056,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
2,0.023356888443231583,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
3,0.02660294994711876,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
4,0.024123530834913254,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
5,0.022923238575458527,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
6,0.02322346717119217,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
7,0.020510569214820862,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
8,0.023197371512651443,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
9,0.02322942018508911,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
10,0.022953610867261887,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
11,0.023473866283893585,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
12,0.022923540323972702,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
13,0.023790910840034485,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
14,0.022637706249952316,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
15,0.026018943637609482,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
16,0.022255204617977142,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
17,0.023301653563976288,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
18,0.022697433829307556,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
19,0.023592200130224228,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
20,0.023812539875507355,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
21,0.023259222507476807,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
22,0.023769240826368332,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
23,0.030723463743925095,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
24,0.021759405732154846,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
25,0.023789912462234497,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
26,0.021979816257953644,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
27,0.023950688540935516,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
28,0.023315884172916412,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
29,0.031035639345645905,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
30,0.021961156278848648,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
31,0.027294252067804337,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
32,0.019208163022994995,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
33,0.022837981581687927,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
34,0.02505246177315712,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
35,0.020047862082719803,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
36,0.022560279816389084,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
37,0.023698262870311737,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
38,0.023706194013357162,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
39,0.023197446018457413,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
40,0.026735369116067886,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
41,0.02176675945520401,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
42,0.02351481467485428,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
43,0.02444342151284218,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
44,0.023613695055246353,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
45,0.023618966341018677,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
46,0.021984636783599854,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
47,0.023418210446834564,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
48,0.021432269364595413,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
49,0.0302848182618618,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
50,0.022788960486650467,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
51,0.022793371230363846,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
52,0.02387920394539833,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
53,0.022927090525627136,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
54,0.023178324103355408,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
55,0.023287028074264526,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
56,0.023855116218328476,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
57,0.025876987725496292,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
58,0.022501658648252487,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
59,0.024422097951173782,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
60,0.026777345687150955,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
61,0.023866310715675354,109.61279296875,105.20654296875,Grad_CAM,convnext-t,CIFAR10,1
