image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.00540949497371912,113.08203125,108.44873046875,Grad_CAM,convnext-t,CIFAR10,1
1,0.005643276032060385,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
2,0.0055041981395334005,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
3,0.005604101112112403,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
4,0.005579777993261814,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
5,0.005751987919211388,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
6,0.0057020660024136305,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
7,0.005658695008605719,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
8,0.00551241310313344,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
9,0.0055466031190007925,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
10,0.005444556009024382,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
11,0.005510093877092004,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
12,0.005830188049003482,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
13,0.005544177023693919,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
14,0.005559372017160058,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
15,0.005658656824380159,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
16,0.00597123708575964,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
17,0.005578035023063421,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
18,0.0055271959863603115,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
19,0.005531813949346542,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
20,0.005531965056434274,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
21,0.005512672010809183,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
22,0.005545338848605752,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
23,0.005711257923394442,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
24,0.005578100914135575,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
25,0.005969910882413387,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
26,0.005542968865483999,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
27,0.005470463074743748,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
28,0.005586520070210099,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
29,0.005686651915311813,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
30,0.005515652941539884,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
31,0.005476430989801884,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
32,0.00564377405680716,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
33,0.0056104338727891445,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
34,0.005850339075550437,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
35,0.005810203030705452,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
36,0.0058220201171934605,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
37,0.005665571894496679,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
38,0.005573025904595852,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
39,0.005570044042542577,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
40,0.00557874096557498,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
41,0.005563835147768259,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
42,0.005631517851725221,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
43,0.005630820989608765,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
44,0.005597290117293596,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
45,0.0055734929628670216,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
46,0.005557203898206353,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
47,0.005525185959413648,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
48,0.005613500019535422,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
49,0.005928870989009738,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
50,0.005655081011354923,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
51,0.005627082893624902,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
52,0.005607594968751073,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
53,0.005555665818974376,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
54,0.005524226929992437,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
55,0.005554392002522945,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
56,0.0055523221381008625,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
57,0.00562615692615509,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
58,0.005626634927466512,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
59,0.005645198980346322,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
60,0.005604800069704652,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
61,0.005568878026679158,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
62,0.00553550710901618,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
63,0.005530495895072818,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
64,0.005538545083254576,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
65,0.0055286940187215805,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
66,0.005501343868672848,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
67,0.005600335076451302,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
68,0.005665511824190617,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
69,0.005615091882646084,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
70,0.005475816084071994,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
71,0.005485349800437689,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
72,0.005487110000103712,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
73,0.0054747979156672955,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
74,0.005454153986647725,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
75,0.0055396039970219135,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
76,0.005516808945685625,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
77,0.00561144296079874,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
78,0.005785615183413029,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
79,0.005540681071579456,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
80,0.005504955071955919,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
81,0.005489622009918094,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
82,0.005470596021041274,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
83,0.005518994061276317,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
84,0.005427654134109616,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
85,0.005518862046301365,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
86,0.005624796962365508,108.30908203125,104.33935546875,Grad_CAM,convnext-t,CIFAR10,1
