image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.022480417042970657,117.92529296875,113.51904296875,Grad_CAM,convnext-t,ImageNet,1
1,0.02721627801656723,112.55029296875,108.05029296875,Grad_CAM,convnext-t,ImageNet,1
2,0.02283870056271553,110.73779296875,106.33154296875,Grad_CAM,convnext-t,ImageNet,1
3,0.022091437131166458,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
4,0.023424863815307617,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
5,0.022966187447309494,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
6,0.022956494241952896,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
7,0.02338988706469536,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
8,0.02351495251059532,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
9,0.0238681361079216,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
10,0.02323729917407036,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
11,0.02333780750632286,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
12,0.023947812616825104,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
13,0.02346063032746315,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
14,0.021834712475538254,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
15,0.03045066073536873,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
16,0.02337510511279106,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
17,0.024204853922128677,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
18,0.02265627682209015,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
19,0.02342982590198517,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
20,0.023345500230789185,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
21,0.02297360450029373,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
22,0.024011414498090744,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
23,0.023325499147176743,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
24,0.023657336831092834,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
25,0.023419030010700226,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
26,0.023565735667943954,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
27,0.023277446627616882,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
28,0.022414155304431915,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
29,0.023051537573337555,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
30,0.023637406527996063,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
31,0.023076225072145462,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
32,0.021545913070440292,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
33,0.02394486963748932,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
34,0.02301030606031418,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
35,0.023527104407548904,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
36,0.022890601307153702,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
37,0.023501265794038773,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
38,0.0227806456387043,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
39,0.02335818111896515,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
40,0.02357333153486252,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
41,0.022867072373628616,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
42,0.023469481617212296,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
43,0.024780847132205963,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
44,0.02272491529583931,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
45,0.02221633493900299,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
46,0.023299332708120346,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
47,0.022662650793790817,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
48,0.023447897285223007,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
49,0.02327996864914894,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
50,0.02284041792154312,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
51,0.022397734224796295,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
52,0.021328769624233246,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
53,0.02322579175233841,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
54,0.022888392210006714,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
55,0.022326864302158356,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
56,0.023371126502752304,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
57,0.023672912269830704,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
58,0.0210060253739357,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
59,0.02387506142258644,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
60,0.023400090634822845,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
61,0.02357477694749832,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
62,0.021990567445755005,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
63,0.02273242548108101,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
64,0.022193338721990585,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
65,0.022511430084705353,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
66,0.027528434991836548,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
67,0.02230997383594513,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
68,0.02282864972949028,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
69,0.022791694849729538,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
70,0.022433068603277206,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
71,0.02497195079922676,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
72,0.022600959986448288,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
73,0.023407477885484695,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
74,0.024652905762195587,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
75,0.022216465324163437,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
76,0.02617461606860161,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
77,0.019447792321443558,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
78,0.02303164079785347,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
79,0.024329695850610733,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
80,0.023204315453767776,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
81,0.02046772837638855,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
82,0.024493951350450516,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
83,0.022780530154705048,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
84,0.02354659140110016,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
85,0.023092877119779587,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
86,0.02261524647474289,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
87,0.02193313091993332,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
88,0.022881533950567245,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
89,0.022975154221057892,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
90,0.02319890633225441,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
91,0.024193983525037766,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
92,0.024235285818576813,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
93,0.022876258939504623,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
94,0.029951777309179306,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
95,0.024133317172527313,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
96,0.022876352071762085,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
97,0.02471189945936203,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
98,0.023673605173826218,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
99,0.02347905933856964,109.84716796875,105.44091796875,Grad_CAM,convnext-t,ImageNet,1
