image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.022814486175775528,117.92529296875,113.51904296875,Grad_CAM,convnext-t,STL10,1
1,0.023284155875444412,112.55029296875,108.05029296875,Grad_CAM,convnext-t,STL10,1
2,0.022974099963903427,110.73779296875,106.33154296875,Grad_CAM,convnext-t,STL10,1
3,0.024147462099790573,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
4,0.0231761671602726,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
5,0.023416467010974884,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
6,0.023439977318048477,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
7,0.023250490427017212,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
8,0.023889288306236267,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
9,0.023412145674228668,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
10,0.024285975843667984,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
11,0.030531197786331177,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
12,0.023301035165786743,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
13,0.02335221692919731,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
14,0.021095022559165955,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
15,0.02340558171272278,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
16,0.023845676332712173,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
17,0.025474853813648224,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
18,0.023560132831335068,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
19,0.022537346929311752,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
20,0.023004185408353806,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
21,0.022948186844587326,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
22,0.023513607680797577,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
23,0.023101165890693665,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
24,0.023154959082603455,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
25,0.021897215396165848,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
26,0.022174451500177383,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
27,0.022687453776597977,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
28,0.022923432290554047,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
29,0.023765593767166138,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
30,0.02272183820605278,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
31,0.02263752743601799,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
32,0.023196659982204437,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
33,0.023704659193754196,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
34,0.023525580763816833,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
35,0.022741563618183136,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
36,0.022621411830186844,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
37,0.023285839706659317,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
38,0.02305729314684868,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
39,0.02383016049861908,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
40,0.022706396877765656,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
41,0.023003634065389633,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
42,0.022432174533605576,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
43,0.022625286132097244,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
44,0.02378392592072487,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
45,0.022410020232200623,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
46,0.02313254401087761,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
47,0.02299041673541069,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
48,0.022696293890476227,109.84716796875,105.44091796875,Grad_CAM,convnext-t,STL10,1
