image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.005204227985814214,113.44921875,108.81591796875,Grad_CAM,convnext-t,STL10,1
1,0.00528805679641664,110.41064453125,106.44091796875,Grad_CAM,convnext-t,STL10,1
2,0.005317547125741839,108.16845703125,104.19873046875,Grad_CAM,convnext-t,STL10,1
3,0.005322588142007589,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
4,0.00535969715565443,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
5,0.0052794290240854025,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
6,0.005972687853500247,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
7,0.005342026008293033,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
8,0.005265422165393829,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
9,0.005291259149089456,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
10,0.0058134919963777065,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
11,0.0063876002095639706,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
12,0.006675257813185453,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
13,0.00572383007965982,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
14,0.005514397053048015,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
15,0.005357471061870456,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
16,0.005403708899393678,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
17,0.005431229947134852,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
18,0.005351852858439088,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
19,0.005435456987470388,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
20,0.005331028951331973,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
21,0.005283840000629425,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
22,0.0053823571652174,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
23,0.00529399118386209,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
24,0.005293938796967268,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
25,0.005272272042930126,109.12158203125,105.15185546875,Grad_CAM,convnext-t,STL10,1
