image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.036561235785484314,127.697265625,124.73095703125,Grad_CAM,densenet121,CIFAR10,1
1,0.03556068614125252,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
2,0.02744707465171814,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
3,0.03555326536297798,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
4,0.04134410247206688,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
5,0.0337509922683239,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
6,0.036172594875097275,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
7,0.036027830094099045,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
8,0.03523095324635506,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
9,0.03634229302406311,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
10,0.0361061654984951,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
11,0.03401569277048111,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
12,0.034827474504709244,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
13,0.03571607172489166,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
14,0.03564232960343361,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
15,0.035008978098630905,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
16,0.035286787897348404,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
17,0.03686017915606499,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
18,0.0359266921877861,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
19,0.03667411208152771,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
20,0.03524067625403404,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
21,0.03447611629962921,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
22,0.03562839701771736,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
23,0.03388981148600578,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
24,0.03710998594760895,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
25,0.03499552607536316,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
26,0.035481855273246765,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
27,0.03502930700778961,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
28,0.03625904768705368,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
29,0.03444179147481918,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
30,0.03661378100514412,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
31,0.035391662269830704,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
32,0.034868646413087845,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
33,0.03598235920071602,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
34,0.03439132124185562,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
35,0.03634098172187805,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
36,0.03562126308679581,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
37,0.03531980514526367,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
38,0.036305420100688934,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
39,0.03600214049220085,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
40,0.0358654223382473,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
41,0.03268258273601532,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
42,0.0359492227435112,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
43,0.036646243184804916,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
44,0.043681178241968155,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
45,0.035937391221523285,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
46,0.03600986301898956,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
47,0.045809902250766754,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
48,0.03312801569700241,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
49,0.04570300132036209,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
50,0.0358150377869606,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
51,0.03601668402552605,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
52,0.03591897338628769,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
53,0.036017704755067825,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
54,0.028317708522081375,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
55,0.03569053113460541,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
56,0.034375257790088654,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
57,0.03560686111450195,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
58,0.03565867617726326,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
59,0.0314350388944149,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
60,0.03563714027404785,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
61,0.03535153716802597,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
62,0.03509056568145752,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
63,0.036216914653778076,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
64,0.035418082028627396,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
65,0.035425446927547455,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
66,0.036223411560058594,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
67,0.03978310525417328,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
68,0.035058435052633286,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
69,0.0355784073472023,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
70,0.0356140099465847,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
71,0.036274503916502,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
72,0.03634445741772652,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
73,0.035248856991529465,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
74,0.03575562685728073,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
75,0.03589557111263275,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
76,0.03481626883149147,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
77,0.038644202053546906,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
78,0.035841021686792374,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
79,0.034734077751636505,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
80,0.04003624618053436,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
81,0.03621339797973633,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
82,0.03234449401497841,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
83,0.03990966081619263,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
84,0.03660517558455467,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
85,0.03353654965758324,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
86,0.039566926658153534,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
87,0.037099406123161316,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
88,0.03159208223223686,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
89,0.03575986251235008,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
90,0.03562945872545242,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
91,0.034299641847610474,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
92,0.03643306344747543,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
93,0.03551603853702545,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
94,0.03473192825913429,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
95,0.038546979427337646,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
96,0.03663315623998642,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
97,0.03144767880439758,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
98,0.03899548575282097,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
99,0.034751832485198975,127.271484375,124.46337890625,Grad_CAM,densenet121,CIFAR10,1
