image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.05142435058951378,127.61328125,124.80517578125,Grad_CAM,densenet121,ImageNet,1
1,0.045834243297576904,128.65234375,125.84423828125,Grad_CAM,densenet121,ImageNet,1
2,0.04080205783247948,127.861328125,124.89501953125,Grad_CAM,densenet121,ImageNet,1
3,0.04057350754737854,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
4,0.04246467351913452,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
5,0.04021122679114342,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
6,0.04400448128581047,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
7,0.05548558384180069,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
8,0.040896590799093246,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
9,0.04271579161286354,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
10,0.04085186496376991,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
11,0.039952684193849564,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
12,0.042958829551935196,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
13,0.04078718647360802,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
14,0.04266548901796341,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
15,0.03948056697845459,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
16,0.04034794494509697,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
17,0.03991461545228958,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
18,0.040135178714990616,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
19,0.04132821410894394,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
20,0.039258576929569244,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
21,0.03903362154960632,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
22,0.035319119691848755,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
23,0.031175274401903152,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
24,0.034921664744615555,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
25,0.03780067339539528,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
26,0.03511016070842743,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
27,0.03374709188938141,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
28,0.03500731289386749,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
29,0.03441333398222923,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
30,0.033625103533267975,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
31,0.0378967821598053,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
32,0.04378270357847214,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
33,0.03242269903421402,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
34,0.033963777124881744,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
35,0.033822160214185715,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
36,0.038221459835767746,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
37,0.03294338285923004,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
38,0.03497915714979172,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
39,0.04803668335080147,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
40,0.03167925402522087,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
41,0.03490355983376503,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
42,0.033480413258075714,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
43,0.03268052265048027,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
44,0.03290325030684471,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
45,0.03492218628525734,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
46,0.034988220781087875,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
47,0.0334952287375927,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
48,0.036284346133470535,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
49,0.03589712083339691,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
50,0.0354510098695755,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
51,0.03389827162027359,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
52,0.04160837456583977,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
53,0.03387383371591568,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
54,0.04010676592588425,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
55,0.03272412717342377,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
56,0.03474276512861252,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
57,0.03305058181285858,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
58,0.03303106129169464,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
59,0.034538671374320984,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
60,0.03637034446001053,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
61,0.050744254142045975,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
62,0.03502244874835014,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
63,0.03560249134898186,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
64,0.03446751460433006,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
65,0.034159447997808456,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
66,0.03409997746348381,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
67,0.035266321152448654,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
68,0.04071539267897606,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
69,0.033017706125974655,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
70,0.03331070393323898,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
71,0.0337258018553257,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
72,0.03353685885667801,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
73,0.03331352770328522,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
74,0.03235624358057976,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
75,0.035785216838121414,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
76,0.03516139090061188,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
77,0.035705581307411194,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
78,0.03859500586986542,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
79,0.04127515107393265,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
80,0.03411179035902023,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
81,0.03413911536335945,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
82,0.03539431840181351,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
83,0.03257843852043152,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
84,0.03292613849043846,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
85,0.03556302189826965,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
86,0.03320464864373207,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
87,0.031890835613012314,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
88,0.035006120800971985,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
89,0.03705346956849098,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
90,0.05408988520503044,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
91,0.03040130063891411,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
92,0.036201611161231995,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
93,0.033551547676324844,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
94,0.03095576912164688,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
95,0.03627684339880943,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
96,0.03546017035841942,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
97,0.0340113565325737,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
98,0.0341021902859211,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
99,0.0423642173409462,127.2265625,124.41845703125,Grad_CAM,densenet121,ImageNet,1
