image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.018270138651132584,128.796875,125.98876953125,Grad_CAM,densenet121,ImageNet,1
1,0.018566913902759552,130.03125,127.22314453125,Grad_CAM,densenet121,ImageNet,1
2,0.018924809992313385,128.08984375,125.28173828125,Grad_CAM,densenet121,ImageNet,1
3,0.017663877457380295,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
4,0.018586385995149612,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
5,0.018218301236629486,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
6,0.01835550367832184,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
7,0.018730197101831436,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
8,0.018583450466394424,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
9,0.018450651317834854,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
10,0.018548239022493362,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
11,0.017960872501134872,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
12,0.017980635166168213,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
13,0.017924830317497253,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
14,0.017804402858018875,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
15,0.018190938979387283,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
16,0.01771918684244156,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
17,0.018728982657194138,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
18,0.01940568909049034,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
19,0.01820319890975952,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
20,0.018436364829540253,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
21,0.01779099926352501,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
22,0.01788165792822838,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
23,0.018129438161849976,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
24,0.017723672091960907,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
25,0.018259353935718536,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
26,0.018121156841516495,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
27,0.018122289329767227,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
28,0.018298953771591187,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
29,0.018503181636333466,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
30,0.01851101964712143,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
31,0.018478237092494965,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
32,0.01872677356004715,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
33,0.018236428499221802,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
34,0.018828973174095154,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
35,0.01888256147503853,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
36,0.018557313829660416,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
37,0.018795985728502274,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
38,0.01863010972738266,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
39,0.01891295611858368,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
40,0.018601667135953903,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
41,0.018297526985406876,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
42,0.018045678734779358,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
43,0.0185423344373703,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
44,0.018265265971422195,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
45,0.018280446529388428,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
46,0.018447700887918472,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
47,0.018252287060022354,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
48,0.01840585470199585,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
49,0.018770623952150345,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
50,0.021095938980579376,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
51,0.019442502409219742,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
52,0.018623199313879013,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
53,0.018748987466096878,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
54,0.018885742872953415,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
55,0.018654830753803253,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
56,0.018854469060897827,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
57,0.01871441677212715,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
58,0.018203910440206528,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
59,0.020345740020275116,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
60,0.021386820822954178,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
61,0.021023645997047424,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
62,0.019744426012039185,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
63,0.019691918045282364,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
64,0.019039705395698547,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
65,0.018993321806192398,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
66,0.019849766045808792,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
67,0.019869275391101837,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
68,0.019690603017807007,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
69,0.019175592809915543,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
70,0.019825570285320282,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
71,0.019407935440540314,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
72,0.019357215613126755,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
73,0.020364653319120407,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
74,0.01943780481815338,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
75,0.019780557602643967,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
76,0.019335631281137466,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
77,0.01964675262570381,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
78,0.019549045711755753,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
79,0.018941126763820648,128.46875,125.66064453125,Grad_CAM,densenet121,ImageNet,1
