image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.029722854495048523,130.767578125,127.95947265625,Grad_CAM,densenet121,STL10,1
1,0.035431504249572754,129.689453125,126.88134765625,Grad_CAM,densenet121,STL10,1
2,0.038304127752780914,128.66015625,125.85205078125,Grad_CAM,densenet121,STL10,1
3,0.03625050559639931,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
4,0.03573058918118477,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
5,0.03580937907099724,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
6,0.036118052899837494,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
7,0.03470291197299957,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
8,0.03523259609937668,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
9,0.03587256744503975,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
10,0.035798367112874985,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
11,0.035729531198740005,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
12,0.035613760352134705,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
13,0.03558512404561043,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
14,0.03651454672217369,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
15,0.035600289702415466,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
16,0.0367455780506134,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
17,0.03618685528635979,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
18,0.03525659069418907,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
19,0.03626453876495361,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
20,0.035513412207365036,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
21,0.03771181032061577,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
22,0.03579803928732872,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
23,0.03525746986269951,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
24,0.03563837334513664,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
25,0.03740011155605316,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
26,0.04514053463935852,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
27,0.0355822928249836,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
28,0.03675702586770058,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
29,0.036564901471138,127.41796875,124.60986328125,Grad_CAM,densenet121,STL10,1
