image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.014955069869756699,252.5439453125,124.57275390625,Grad_CAM,densenet121,STL10,1
1,0.016454890137538314,251.9560546875,123.98486328125,Grad_CAM,densenet121,STL10,1
2,0.015250195050612092,252.2998046875,124.32861328125,Grad_CAM,densenet121,STL10,1
3,0.015189894940704107,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
4,0.015129467938095331,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
5,0.015104189980775118,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
6,0.015158336143940687,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
7,0.01506686001084745,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
8,0.015333696966990829,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
9,0.015101717785000801,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
10,0.01521835196763277,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
11,0.015151658095419407,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
12,0.015228541800752282,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
13,0.015214452985674143,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
14,0.014975395053625107,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
15,0.014907920034602284,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
16,0.015175679000094533,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
17,0.015159138944000006,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
18,0.015342022059485316,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
19,0.015180042944848537,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
20,0.014999852981418371,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
21,0.015206781914457679,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
22,0.015238652937114239,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
23,0.015177346067503095,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
24,0.015385184902697802,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
25,0.015236440114676952,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
26,0.01530076889321208,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
27,0.015078490134328604,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
28,0.015217129839584231,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
29,0.015210999175906181,252.0341796875,124.06298828125,Grad_CAM,densenet121,STL10,1
