image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.014226723462343216,86.130859375,84.88818359375,Grad_CAM,efficientnet-b0,CIFAR10,1
1,0.014578450471162796,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
2,0.01423657312989235,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
3,0.013967089354991913,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
4,0.01396123319864273,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
5,0.014819838106632233,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
6,0.016670729964971542,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
7,0.013681039214134216,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
8,0.013819076120853424,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
9,0.014052148908376694,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
10,0.01514878123998642,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
11,0.01360258087515831,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
12,0.013830509036779404,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
13,0.014168806374073029,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
14,0.014091052114963531,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
15,0.014504488557577133,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
16,0.014175307005643845,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
17,0.014184653759002686,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
18,0.015320863574743271,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
19,0.013705555349588394,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
20,0.013693071901798248,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
21,0.014280498027801514,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
22,0.015026170760393143,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
23,0.014220267534255981,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
24,0.014389526098966599,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
25,0.015839215368032455,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
26,0.0152161605656147,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
27,0.01459665596485138,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
28,0.013441972434520721,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
29,0.014421094208955765,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
30,0.014326274394989014,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
31,0.014242883771657944,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
32,0.014388080686330795,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
33,0.014616850763559341,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
34,0.014913201332092285,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
35,0.014680720865726471,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
36,0.014198310673236847,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
37,0.014579687267541885,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
38,0.014903400093317032,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
39,0.01547287032008171,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
40,0.014959026128053665,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
41,0.014280077069997787,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
42,0.014088980853557587,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
43,0.017726503312587738,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
44,0.01461116224527359,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
45,0.014373373240232468,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
46,0.01434827595949173,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
47,0.013947989791631699,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
48,0.01445750892162323,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
49,0.01691218465566635,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
50,0.013980034738779068,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
51,0.013867396861314774,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
52,0.01402634009718895,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
53,0.014428991824388504,86.466796875,85.22412109375,Grad_CAM,efficientnet-b0,CIFAR10,1
