image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.024005252867937088,87.447265625,86.20458984375,Grad_CAM,efficientnet-b0,STL10,1
1,0.02292601391673088,87.365234375,86.12255859375,Grad_CAM,efficientnet-b0,STL10,1
2,0.022998083382844925,85.466796875,84.22412109375,Grad_CAM,efficientnet-b0,STL10,1
3,0.022495727986097336,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
4,0.022144686430692673,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
5,0.021812550723552704,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
6,0.022262874990701675,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
7,0.02207956835627556,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
8,0.02161216363310814,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
9,0.022298533469438553,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
10,0.02338062971830368,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
11,0.030221525579690933,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
12,0.02295340597629547,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
13,0.02241073176264763,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
14,0.02332599088549614,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
15,0.023102853447198868,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
16,0.022685661911964417,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
17,0.02307484671473503,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
18,0.022509630769491196,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
19,0.022454146295785904,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
20,0.022923000156879425,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
21,0.023019123822450638,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
22,0.022634301334619522,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
23,0.0279613696038723,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
24,0.02261452004313469,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
25,0.022465761750936508,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
26,0.02261761948466301,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
27,0.02292441949248314,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
28,0.023807212710380554,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
29,0.02254326269030571,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
30,0.023443862795829773,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
31,0.02456684038043022,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
32,0.023088213056325912,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
33,0.0227714404463768,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
34,0.02371279150247574,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
35,0.02272086963057518,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
36,0.022598396986722946,85.369140625,84.12646484375,Grad_CAM,efficientnet-b0,STL10,1
