image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.21016991510987282,129.95556640625,115.0576171875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
1,0.2090807482600212,123.31494140625,107.9404296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
2,0.21135758608579636,122.33837890625,107.4404296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
3,0.21233908087015152,121.86181640625,106.9638671875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
4,0.21047361940145493,121.20849609375,105.9169921875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
5,0.21090560406446457,121.73193359375,106.4404296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
6,0.21009868010878563,122.40869140625,107.5107421875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
7,0.20435521379113197,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
8,0.2118241861462593,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
9,0.21021468192338943,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
10,0.20190923660993576,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
11,0.20457881689071655,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
12,0.2084733061492443,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
13,0.21029049158096313,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
14,0.20910266414284706,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
15,0.2103635035455227,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
16,0.2045830674469471,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
17,0.2085619457066059,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
18,0.20790652185678482,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
19,0.2037281021475792,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
20,0.20991672948002815,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
21,0.20062821730971336,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
22,0.20549476891756058,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
23,0.2089354731142521,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
24,0.20950165390968323,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
25,0.20861097425222397,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
26,0.202372208237648,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
27,0.20634035021066666,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
28,0.20934202522039413,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
29,0.21025578677654266,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
30,0.20684606954455376,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
31,0.21066445857286453,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
32,0.20885959640145302,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
33,0.2048262320458889,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
34,0.21115349605679512,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
35,0.20372898504137993,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
36,0.208123616874218,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
37,0.2054404392838478,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
38,0.20725731924176216,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
39,0.2079634852707386,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
40,0.21046503260731697,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
41,0.20663946494460106,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
42,0.21003546193242073,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
43,0.2063802033662796,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
44,0.21507294476032257,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
45,0.2085302621126175,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
46,0.20511897653341293,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
47,0.20439324155449867,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
48,0.2047671042382717,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
49,0.20389922335743904,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
50,0.20712702721357346,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
51,0.2114194631576538,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
52,0.21190018951892853,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
53,0.20872881636023521,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
54,0.20968467742204666,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
55,0.21030285954475403,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
56,0.20498834922909737,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
57,0.20961346477270126,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
58,0.21024005487561226,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
59,0.20551986247301102,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
60,0.20960528030991554,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
61,0.2116890400648117,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
62,0.20713844522833824,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
63,0.21193630248308182,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
64,0.20945697277784348,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
65,0.21047252044081688,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
66,0.210393775254488,122.38525390625,107.4873046875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
