image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.20597219094634056,128.66650390625,113.7685546875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
1,0.20344746857881546,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
2,0.20444143190979958,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
3,0.19790510088205338,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
4,0.20493467152118683,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
5,0.2050694115459919,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
6,0.20439058169722557,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
7,0.1982443816959858,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
8,0.20549048483371735,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
9,0.1982199214398861,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
10,0.21015846356749535,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
11,0.20254119113087654,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
12,0.19910117611289024,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
13,0.19899103790521622,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
14,0.20452764630317688,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
15,0.1983061246573925,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
16,0.20512672886252403,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
17,0.20465848967432976,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
18,0.1977282240986824,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
19,0.20431971549987793,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
20,0.20597682148218155,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
21,0.19908156618475914,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
22,0.20508942380547523,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
23,0.20025023818016052,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
24,0.19672923162579536,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
25,0.20788965746760368,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
26,0.2010636255145073,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
27,0.20538663864135742,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
28,0.1985948495566845,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
29,0.20478881150484085,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
30,0.20802608504891396,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
31,0.20357051491737366,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
32,0.20526456832885742,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
33,0.1995483599603176,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
34,0.2087133377790451,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
35,0.20526955276727676,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
36,0.2049407698214054,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
37,0.20446592941880226,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
38,0.1984582282602787,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
39,0.20495586842298508,122.52587890625,107.6279296875,Grad_CAM_plus_plus,convnext-t,CIFAR10,1
