image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.24944373220205307,135.98681640625,120.8466796875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
1,0.213022880256176,122.59912109375,106.6357421875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
2,0.20472337305545807,123.64306640625,108.7451171875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
3,0.20623968541622162,122.11962890625,107.2216796875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
4,0.19805843010544777,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
5,0.2046581730246544,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
6,0.20984216034412384,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
7,0.20855950191617012,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
8,0.2047448270022869,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
9,0.21169288828969002,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
10,0.20231249555945396,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
11,0.20631499588489532,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
12,0.2109844982624054,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
13,0.20649421215057373,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
14,0.21033670008182526,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
15,0.2048557847738266,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
16,0.2078654281795025,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
17,0.2099713645875454,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
18,0.2038378268480301,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
19,0.20957646891474724,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
20,0.2091035433113575,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
21,0.20975061133503914,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
22,0.2087034434080124,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
23,0.2115747220814228,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
24,0.20920586958527565,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
25,0.20671867951750755,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
26,0.20587896183133125,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
27,0.20718619972467422,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
28,0.20902269333600998,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
29,0.20507746189832687,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
30,0.20516812056303024,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
31,0.21120832487940788,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
32,0.20681603252887726,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
33,0.20646832883358002,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
34,0.2037995420396328,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
35,0.20455558598041534,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
36,0.2070889100432396,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
37,0.20143520832061768,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
38,0.2098218910396099,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
39,0.21123382821679115,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
40,0.21202262490987778,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
41,0.20817533880472183,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
42,0.21097669750452042,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
43,0.2051556520164013,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
44,0.209898192435503,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
45,0.21103521063923836,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
46,0.20471274480223656,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
47,0.20655323937535286,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
48,0.20468778163194656,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
49,0.21289066225290298,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
50,0.20861715823411942,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
51,0.20433957129716873,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
52,0.2088308297097683,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
53,0.20893333852291107,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
54,0.20373566821217537,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
55,0.21191371232271194,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
56,0.20932167768478394,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
57,0.20620806887745857,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
58,0.2060992643237114,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
59,0.2122998870909214,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
60,0.20912526920437813,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
61,0.2081381268799305,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
62,0.2086213454604149,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
63,0.2119034305214882,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
64,0.20861287415027618,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
65,0.20358135178685188,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
66,0.2064303420484066,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
67,0.20734050497412682,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
68,0.20862017571926117,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
69,0.21245180815458298,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
70,0.2057383581995964,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
71,0.21073977649211884,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
72,0.20841419324278831,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
73,0.20992273464798927,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
74,0.20647872611880302,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
75,0.20453669503331184,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
76,0.2114587090909481,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
77,0.20531246811151505,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
78,0.20684749260544777,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
79,0.21080447733402252,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
80,0.20361999422311783,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
81,0.20861634984612465,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
82,0.20919980481266975,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
83,0.2095508649945259,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
84,0.21022533997893333,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
85,0.20466139912605286,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
86,0.20537962391972542,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
87,0.20445865765213966,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
88,0.20579707995057106,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
89,0.20524026080965996,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
90,0.2049650065600872,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
91,0.20902135223150253,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
92,0.2061200924217701,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
93,0.2095319703221321,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
94,0.20609090104699135,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
95,0.20482498407363892,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
96,0.21141859889030457,122.21337890625,107.3154296875,Grad_CAM_plus_plus,convnext-t,ImageNet,1
