image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.012754261028021574,133.49755859375,118.2919921875,Grad_CAM_plus_plus,convnext-t,STL10,1
1,0.012880222871899605,124.97119140625,110.0732421875,Grad_CAM_plus_plus,convnext-t,STL10,1
2,0.013690840918570757,122.58056640625,107.6826171875,Grad_CAM_plus_plus,convnext-t,STL10,1
3,0.013523014029487967,121.76806640625,106.2998046875,Grad_CAM_plus_plus,convnext-t,STL10,1
4,0.01312578795477748,121.35400390625,106.4560546875,Grad_CAM_plus_plus,convnext-t,STL10,1
5,0.012700035935267806,123.51025390625,108.5419921875,Grad_CAM_plus_plus,convnext-t,STL10,1
6,0.012747860979288816,123.53369140625,108.6123046875,Grad_CAM_plus_plus,convnext-t,STL10,1
7,0.012917343992739916,123.43994140625,108.5419921875,Grad_CAM_plus_plus,convnext-t,STL10,1
8,0.013253112090751529,124.03369140625,108.6591796875,Grad_CAM_plus_plus,convnext-t,STL10,1
9,0.013041767058894038,123.60400390625,108.7060546875,Grad_CAM_plus_plus,convnext-t,STL10,1
10,0.012891794089227915,123.62744140625,108.2529296875,Grad_CAM_plus_plus,convnext-t,STL10,1
11,0.012796797091141343,124.17431640625,109.2763671875,Grad_CAM_plus_plus,convnext-t,STL10,1
12,0.012835510075092316,124.08056640625,109.1826171875,Grad_CAM_plus_plus,convnext-t,STL10,1
13,0.012820692965760827,123.77587890625,108.8779296875,Grad_CAM_plus_plus,convnext-t,STL10,1
14,0.012888797791674733,123.96337890625,108.9248046875,Grad_CAM_plus_plus,convnext-t,STL10,1
15,0.012836269102990627,124.03369140625,109.0888671875,Grad_CAM_plus_plus,convnext-t,STL10,1
16,0.012792177964001894,124.74462890625,109.3701171875,Grad_CAM_plus_plus,convnext-t,STL10,1
17,0.012766958214342594,123.68212890625,108.7841796875,Grad_CAM_plus_plus,convnext-t,STL10,1
18,0.012725939974188805,124.62744140625,109.2529296875,Grad_CAM_plus_plus,convnext-t,STL10,1
19,0.012788539985194802,124.74462890625,109.3701171875,Grad_CAM_plus_plus,convnext-t,STL10,1
20,0.012690495001152158,123.77587890625,108.8779296875,Grad_CAM_plus_plus,convnext-t,STL10,1
21,0.012732397066429257,124.05712890625,109.1357421875,Grad_CAM_plus_plus,convnext-t,STL10,1
22,0.013647957937791944,124.05712890625,109.1591796875,Grad_CAM_plus_plus,convnext-t,STL10,1
23,0.013552824035286903,124.05712890625,109.1591796875,Grad_CAM_plus_plus,convnext-t,STL10,1
24,0.013071987079456449,124.05712890625,109.1591796875,Grad_CAM_plus_plus,convnext-t,STL10,1
25,0.01291605900041759,124.58056640625,109.0419921875,Grad_CAM_plus_plus,convnext-t,STL10,1
26,0.012806458864361048,124.26806640625,109.3701171875,Grad_CAM_plus_plus,convnext-t,STL10,1
27,0.01286602602340281,123.12744140625,107.7060546875,Grad_CAM_plus_plus,convnext-t,STL10,1
28,0.012936322018504143,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
29,0.012945146998390555,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
30,0.012955317040905356,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
31,0.012891035061329603,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
32,0.013149900129064918,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
33,0.012809535022825003,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
34,0.012682184111326933,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
35,0.012826132820919156,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
36,0.012643524911254644,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
37,0.012611250160261989,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
38,0.012612527003511786,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
39,0.01269106613472104,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
40,0.012832221109420061,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
41,0.012667316012084484,123.72119140625,108.8232421875,Grad_CAM_plus_plus,convnext-t,STL10,1
