image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.079531230032444,134.54052734375,127.591796875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
1,0.07426523044705391,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
2,0.07868515700101852,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
3,0.07815711945295334,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
4,0.07758552208542824,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
5,0.07896653190255165,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
6,0.0780465379357338,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
7,0.0785801038146019,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
8,0.07839403674006462,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
9,0.07765364274382591,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
10,0.07715071365237236,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
11,0.08011899515986443,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
12,0.08754613623023033,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
13,0.079725731164217,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
14,0.08407002687454224,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
15,0.07988625764846802,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
16,0.07600845769047737,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
17,0.07934022322297096,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
18,0.07840434834361076,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
19,0.07189510762691498,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
20,0.06779083982110023,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
21,0.07303859665989876,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
22,0.07325858622789383,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
23,0.08223181217908859,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
24,0.07028261199593544,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
25,0.07926160097122192,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
26,0.08012418076395988,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
27,0.08423202112317085,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
28,0.08496985584497452,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
29,0.08043279126286507,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
30,0.08186252042651176,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
31,0.07435733824968338,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
32,0.06966948136687279,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
33,0.08048722892999649,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
34,0.080996785312891,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
35,0.08348145708441734,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
36,0.0811120793223381,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
37,0.08135968819260597,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
38,0.08164151012897491,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
39,0.08339553326368332,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
40,0.08002579212188721,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
41,0.08304522559046745,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
42,0.09199171885848045,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
43,0.07589893415570259,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
44,0.09167090430855751,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
45,0.08733932301402092,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
46,0.07450433075428009,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
47,0.08113530278205872,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
48,0.08344591781497002,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
49,0.07990662381052971,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
50,0.08045705407857895,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
51,0.0824960209429264,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
52,0.0838368572294712,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
53,0.08181076496839523,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
54,0.07061542570590973,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
55,0.08197186142206192,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
56,0.07156597450375557,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
57,0.07838837802410126,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
58,0.07905111834406853,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
59,0.07750674337148666,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
60,0.07794352993369102,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
61,0.08157102018594742,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
62,0.07936019077897072,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
63,0.07657306641340256,134.35302734375,127.404296875,Grad_CAM_plus_plus,densenet121,CIFAR10,1
