image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.03744287812151015,259.20166015625,126.22265625,Grad_CAM_plus_plus,densenet121,STL10,1
1,0.03618560708127916,258.34228515625,125.36328125,Grad_CAM_plus_plus,densenet121,STL10,1
2,0.03684249799698591,259.03173828125,126.052734375,Grad_CAM_plus_plus,densenet121,STL10,1
3,0.03658153396099806,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
4,0.03851736686192453,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
5,0.03667835891246796,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
6,0.036525993142277,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
7,0.036278530955314636,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
8,0.03619603696279228,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
9,0.03624930186197162,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
10,0.03613414289429784,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
11,0.038510661106556654,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
12,0.03732781205326319,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
13,0.03696171194314957,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
14,0.03640865394845605,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
15,0.03642008104361594,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
16,0.03886122512631118,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
17,0.03710829094052315,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
18,0.03705074288882315,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
19,0.036720525939017534,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
20,0.036995152942836285,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
21,0.03637568396516144,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
22,0.03647763398475945,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
23,0.036205213982611895,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
24,0.036550772842019796,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
25,0.036307191010564566,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
26,0.03679549810476601,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
27,0.03611869900487363,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
28,0.036297613056376576,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
29,0.03602662100456655,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
30,0.03641075105406344,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
31,0.035996739054098725,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
32,0.03602008102461696,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
33,0.036111705005168915,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
34,0.036134447902441025,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
35,0.036178816109895706,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
36,0.03599368501454592,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
37,0.03670186619274318,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
38,0.03731725714169443,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
39,0.03632000298239291,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
40,0.03610102413222194,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
41,0.03715810598805547,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
42,0.03637088485993445,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
43,0.03629505401477218,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
44,0.035981016932055354,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
45,0.036161968018859625,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
46,0.03646290488541126,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
47,0.03624839405529201,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
48,0.03610836900770664,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
49,0.03589140297845006,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
50,0.03616432100534439,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
51,0.03605043399147689,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
52,0.03699389984831214,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
53,0.03600055584684014,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
54,0.036243735114112496,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
55,0.038456430891528726,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
56,0.03667342197149992,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
57,0.03681820398196578,258.40673828125,125.427734375,Grad_CAM_plus_plus,densenet121,STL10,1
