image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.07272495329380035,96.25439453125,88.6142578125,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
1,0.06596305593848228,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
2,0.054213251918554306,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
3,0.05195405334234238,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
4,0.057490408420562744,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
5,0.05197618156671524,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
6,0.07433710619807243,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
7,0.05324414744973183,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
8,0.05254866182804108,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
9,0.07038230076432228,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
10,0.06483777612447739,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
11,0.05158205330371857,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
12,0.05295918136835098,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
13,0.053398363292217255,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
14,0.055136896669864655,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
15,0.06658434495329857,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
16,0.06492900103330612,94.35205078125,86.7119140625,Grad_CAM_plus_plus,efficientnet-b0,CIFAR10,1
