image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.05259053781628609,108.017578125,85.376953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
1,0.05073366314172745,107.048828125,85.533203125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
2,0.05047299340367317,106.986328125,84.783203125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
3,0.05253883823752403,107.267578125,86.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
4,0.05076689273118973,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
5,0.05089209973812103,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
6,0.051850128918886185,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
7,0.05103101208806038,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
8,0.05115317180752754,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
9,0.05231765657663345,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
10,0.053110670298337936,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
11,0.052845560014247894,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
12,0.054193414747714996,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
13,0.04770291596651077,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
14,0.053873274475336075,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
15,0.05366316810250282,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
16,0.05525703355669975,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
17,0.051909372210502625,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
18,0.054094843566417694,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
19,0.0546305850148201,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
20,0.05212457478046417,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
21,0.052569713443517685,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
22,0.0530351884663105,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
23,0.05343390256166458,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
24,0.05290544033050537,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
25,0.05294474959373474,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
26,0.05164936184883118,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
27,0.05237599462270737,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
28,0.050929710268974304,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
29,0.05358352139592171,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
30,0.05425286293029785,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
31,0.051663558930158615,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
32,0.05114918202161789,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
33,0.04941046983003616,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
34,0.053043805062770844,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
35,0.05426483601331711,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
36,0.05205599218606949,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
37,0.05512437969446182,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
38,0.05339476093649864,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
39,0.053328435868024826,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
40,0.05166422948241234,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
41,0.05625278130173683,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
42,0.05416548252105713,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
43,0.05080735683441162,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
44,0.05138269066810608,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
45,0.05256982147693634,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
46,0.0529150664806366,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
47,0.04440916329622269,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
48,0.044772014021873474,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
49,0.044308822602033615,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
50,0.04463161155581474,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
51,0.04439801722764969,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
52,0.044595636427402496,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
53,0.04435615614056587,107.267578125,84.626953125,Grad_CAM_plus_plus,resnet50,CIFAR10,1
