image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04059286415576935,92.57373046875,85.876953125,Grad_CAM_plus_plus,resnet50,ImageNet,1
1,0.04072069376707077,90.05029296875,83.939453125,Grad_CAM_plus_plus,resnet50,ImageNet,1
2,0.03725989907979965,91.58544921875,85.158203125,Grad_CAM_plus_plus,resnet50,ImageNet,1
3,0.041020676493644714,92.17919921875,85.751953125,Grad_CAM_plus_plus,resnet50,ImageNet,1
4,0.04138772562146187,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
5,0.04298754408955574,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
6,0.041758161038160324,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
7,0.041395120322704315,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
8,0.04155370593070984,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
9,0.0373198464512825,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
10,0.04581412672996521,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
11,0.041067153215408325,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
12,0.039896219968795776,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
13,0.037641771137714386,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
14,0.04244335740804672,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
15,0.03641331195831299,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
16,0.049654170870780945,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
17,0.04058859124779701,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
18,0.03984063118696213,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
19,0.03906232491135597,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
20,0.041874390095472336,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
21,0.0422491692006588,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
22,0.04120555892586708,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
23,0.04239829629659653,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
24,0.04375698044896126,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
25,0.03908270224928856,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
26,0.041307684034109116,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
27,0.04328640550374985,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
28,0.04143967479467392,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
29,0.04022138565778732,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
30,0.04237937927246094,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
31,0.04369286447763443,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
32,0.04174980893731117,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
33,0.042246416211128235,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
34,0.04119554162025452,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
35,0.041834402829408646,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
36,0.04338544234633446,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
37,0.04127548262476921,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
38,0.04388813674449921,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
39,0.041302867233753204,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
40,0.041828595101833344,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
41,0.042681511491537094,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
42,0.045749932527542114,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
43,0.04030616953969002,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
44,0.03985466808080673,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
45,0.04317663237452507,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
46,0.04766754060983658,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
47,0.04079112783074379,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
48,0.04078966751694679,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
49,0.042005568742752075,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
50,0.0389697290956974,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
51,0.039994217455387115,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
52,0.040568072348833084,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
53,0.0410364530980587,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,ImageNet,1
