image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.045801226049661636,95.97998046875,89.283203125,Grad_CAM_plus_plus,resnet50,STL10,1
1,0.04546572268009186,90.27294921875,83.845703125,Grad_CAM_plus_plus,resnet50,STL10,1
2,0.04606058821082115,89.86279296875,83.751953125,Grad_CAM_plus_plus,resnet50,STL10,1
3,0.04690926522016525,89.86669921875,83.439453125,Grad_CAM_plus_plus,resnet50,STL10,1
4,0.04929637536406517,90.67919921875,84.251953125,Grad_CAM_plus_plus,resnet50,STL10,1
5,0.052844539284706116,92.55029296875,85.533203125,Grad_CAM_plus_plus,resnet50,STL10,1
6,0.0467832088470459,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
7,0.05598510056734085,93.52294921875,87.095703125,Grad_CAM_plus_plus,resnet50,STL10,1
8,0.05023713409900665,91.89794921875,85.470703125,Grad_CAM_plus_plus,resnet50,STL10,1
9,0.044883329421281815,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
10,0.050353385508060455,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
11,0.049637697637081146,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
12,0.044114794582128525,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
13,0.04618526250123978,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
14,0.04463895782828331,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
15,0.04521176218986511,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
16,0.04591994732618332,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
17,0.0501675046980381,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
18,0.051404766738414764,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
19,0.04490644484758377,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
20,0.048122115433216095,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
21,0.04271223023533821,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
22,0.054555296897888184,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
23,0.04288468882441521,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
24,0.058424241840839386,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
25,0.043172385543584824,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
26,0.04958087205886841,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
27,0.05248257890343666,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
28,0.05808734893798828,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
29,0.04608425125479698,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
30,0.045888904482126236,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
31,0.04396473988890648,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
32,0.049295030534267426,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
33,0.04049639776349068,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
34,0.053267888724803925,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
35,0.04377951845526695,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
36,0.051911476999521255,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
37,0.053187642246484756,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
38,0.056530386209487915,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
39,0.04394407197833061,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
40,0.053955480456352234,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
41,0.05250271409749985,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
42,0.053889039903879166,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
43,0.06357352063059807,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
44,0.045814160257577896,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
45,0.058132585138082504,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
46,0.04614098370075226,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
47,0.046140849590301514,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
48,0.046211373060941696,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
49,0.04944968223571777,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
50,0.05505352467298508,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
51,0.044771164655685425,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
52,0.057143062353134155,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
53,0.052569080144166946,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
54,0.04425448551774025,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
55,0.050301264971494675,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
56,0.04669706150889397,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
57,0.05118712782859802,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
58,0.04721064120531082,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
59,0.04559396207332611,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
60,0.04536057636141777,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
61,0.04222559556365013,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
62,0.044633906334638596,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
63,0.04484274983406067,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
64,0.041802387684583664,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
65,0.051405057311058044,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
66,0.040972497314214706,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
67,0.04558619111776352,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
68,0.04300761595368385,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
69,0.057265207171440125,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
70,0.05116354301571846,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
71,0.055981654673814774,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
72,0.044493090361356735,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
73,0.044569652527570724,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
74,0.04398725554347038,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
75,0.04575392231345177,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
76,0.044675204902887344,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
77,0.048850953578948975,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
78,0.04419368505477905,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
79,0.04461430013179779,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
80,0.05136764422059059,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
81,0.04294306039810181,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
82,0.043855030089616776,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
83,0.04278218373656273,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
84,0.05451303347945213,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
85,0.05596340820193291,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
86,0.045815736055374146,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
87,0.04537688195705414,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
88,0.04481329023838043,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
89,0.049375008791685104,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
90,0.04441797733306885,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
91,0.04642029106616974,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
92,0.051446303725242615,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
93,0.04501495510339737,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
94,0.05500755086541176,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
95,0.045101407915353775,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
96,0.04571957886219025,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
97,0.04512961953878403,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
98,0.04766582325100899,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
99,0.049681272357702255,93.14794921875,86.720703125,Grad_CAM_plus_plus,resnet50,STL10,1
