image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.02692156285047531,108.298828125,85.970703125,Grad_CAM_plus_plus,resnet50,STL10,1
1,0.02160457894206047,108.548828125,85.533203125,Grad_CAM_plus_plus,resnet50,STL10,1
2,0.023411549627780914,107.330078125,85.408203125,Grad_CAM_plus_plus,resnet50,STL10,1
3,0.026221584528684616,107.548828125,84.158203125,Grad_CAM_plus_plus,resnet50,STL10,1
4,0.027631983160972595,108.361328125,85.564453125,Grad_CAM_plus_plus,resnet50,STL10,1
5,0.026447296142578125,109.236328125,87.033203125,Grad_CAM_plus_plus,resnet50,STL10,1
6,0.029749631881713867,109.611328125,86.533203125,Grad_CAM_plus_plus,resnet50,STL10,1
7,0.05182727053761482,110.048828125,87.158203125,Grad_CAM_plus_plus,resnet50,STL10,1
8,0.05296625196933746,110.298828125,87.658203125,Grad_CAM_plus_plus,resnet50,STL10,1
9,0.05226800963282585,110.298828125,87.658203125,Grad_CAM_plus_plus,resnet50,STL10,1
10,0.05176665261387825,110.298828125,87.658203125,Grad_CAM_plus_plus,resnet50,STL10,1
11,0.05362691357731819,110.298828125,87.658203125,Grad_CAM_plus_plus,resnet50,STL10,1
12,0.0525457039475441,110.298828125,87.658203125,Grad_CAM_plus_plus,resnet50,STL10,1
13,0.05124296620488167,109.330078125,86.939453125,Grad_CAM_plus_plus,resnet50,STL10,1
14,0.052283644676208496,110.048828125,86.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
15,0.052976056933403015,110.767578125,88.126953125,Grad_CAM_plus_plus,resnet50,STL10,1
16,0.05189407244324684,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
17,0.04933631420135498,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
18,0.052535757422447205,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
19,0.05874256417155266,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
20,0.05733891949057579,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
21,0.04965648800134659,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
22,0.05184423550963402,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
23,0.053628578782081604,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
24,0.0480864979326725,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
25,0.043782398104667664,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
26,0.05124673619866371,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
27,0.0550612173974514,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
28,0.054966118186712265,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
29,0.056683775037527084,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
30,0.05258915200829506,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
31,0.053518570959568024,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
32,0.05173153802752495,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
33,0.05532918497920036,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
34,0.052442390471696854,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
35,0.051008451730012894,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
36,0.04715936258435249,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
37,0.05154668912291527,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
38,0.04925025627017021,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
39,0.05143943056464195,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
40,0.051612917333841324,110.330078125,87.689453125,Grad_CAM_plus_plus,resnet50,STL10,1
