image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.12188689038157463,158.11376953125,144.30029296875,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
1,0.11106935888528824,156.3798828125,142.81591796875,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
2,0.11293154954910278,156.3857421875,143.0185546875,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
3,0.1067705862224102,155.986328125,142.66455078125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
4,0.09898804128170013,157.98291015625,144.12939453125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
5,0.09388068318367004,158.78564453125,144.58935546875,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
6,0.09851700067520142,158.84423828125,144.64794921875,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
7,0.09171553701162338,158.84423828125,144.64794921875,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
8,0.09300001338124275,158.84423828125,144.64794921875,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
9,0.10406117513775826,158.84423828125,144.64794921875,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
