image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.11021949350833893,118.85400390625,108.2431640625,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
1,0.10837963223457336,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
2,0.10849649831652641,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
3,0.10834308713674545,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
4,0.10928600281476974,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
5,0.10956593230366707,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
6,0.11012346670031548,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
7,0.10793893784284592,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
8,0.11040723323822021,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
9,0.1230056919157505,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
10,0.1259247399866581,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
11,0.12180179357528687,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
12,0.12253519520163536,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
13,0.12244872748851776,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
14,0.11734989657998085,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
15,0.16511278226971626,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
16,0.12509018927812576,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
17,0.10928722470998764,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
18,0.12453262135386467,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
19,0.12214506790041924,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
20,0.12274565547704697,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
21,0.12456795200705528,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
22,0.13750620931386948,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
23,0.14569024741649628,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
24,0.14514163881540298,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
25,0.1235712394118309,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
26,0.1382273994386196,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
27,0.11725421249866486,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
28,0.11022499576210976,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
29,0.12123231962323189,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
30,0.15394112467765808,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
31,0.11605728790163994,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
32,0.13789115846157074,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
33,0.15279162302613258,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
34,0.13765867426991463,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
35,0.1457614041864872,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
36,0.11990083009004593,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
37,0.12284596636891365,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
38,0.13879311829805374,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
39,0.10065323859453201,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
40,0.124864611774683,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
41,0.12309052050113678,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
42,0.13930407539010048,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
43,0.1226535364985466,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
44,0.12517796829342842,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
45,0.1396307423710823,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
46,0.12325114011764526,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
47,0.14171162992715836,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
48,0.13698678091168404,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
49,0.12222230434417725,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
50,0.15834768489003181,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
51,0.1517036072909832,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
52,0.17904173955321312,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
53,0.16527827829122543,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
54,0.12461158260703087,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
55,0.15704259648919106,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
56,0.14207730814814568,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
57,0.17676841095089912,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
58,0.15771562978625298,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
59,0.1395232006907463,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
60,0.16291213035583496,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
61,0.147666797041893,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
62,0.17108425498008728,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
63,0.12602154538035393,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
64,0.1274980865418911,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
65,0.16011403128504753,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
66,0.13220418244600296,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
67,0.14769399538636208,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
68,0.12778892368078232,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
69,0.12847578898072243,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
70,0.1786375306546688,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
71,0.14152391627430916,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
72,0.17319590225815773,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
73,0.1442810483276844,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
74,0.13106678426265717,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
75,0.15844662114977837,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
76,0.13493916019797325,119.76806640625,109.0986328125,Grad_CAM_plus_plus,vit-b-16,CIFAR10,1
