image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.10905249789357185,119.76806640625,109.3330078125,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
1,0.10511911660432816,118.97900390625,108.3681640625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
2,0.10951299965381622,119.58837890625,108.9189453125,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
3,0.1098911389708519,119.98291015625,109.2392578125,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
4,0.10574084892868996,119.74853515625,109.0791015625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
5,0.10563013702630997,119.39697265625,108.7705078125,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
6,0.10868678241968155,119.49853515625,108.8291015625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
7,0.10775646939873695,118.93603515625,108.2666015625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
8,0.10998700186610222,119.88525390625,109.2158203125,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
9,0.11099300533533096,119.88525390625,109.2158203125,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
10,0.10610781610012054,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
11,0.10758551582694054,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
12,0.11039833351969719,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
13,0.10777762904763222,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
14,0.10889699682593346,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
15,0.11022688820958138,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
16,0.10185052827000618,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
17,0.10854418203234673,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
18,0.10936211794614792,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
19,0.10942380875349045,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
20,0.10856982693076134,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
21,0.10598279908299446,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
22,0.10982859507203102,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
23,0.10948553681373596,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
24,0.11014211177825928,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
25,0.10768759250640869,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
26,0.10705159604549408,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
27,0.10967597365379333,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
28,0.10148854926228523,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
29,0.11029771342873573,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
30,0.11105236411094666,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
31,0.10731640458106995,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
32,0.10798004269599915,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
33,0.10769908875226974,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
34,0.10983819887042046,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
35,0.10745121166110039,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
36,0.10988524928689003,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
37,0.10813222080469131,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
38,0.1082909107208252,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
39,0.10886287316679955,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
40,0.10647648945450783,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
41,0.10993118584156036,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
42,0.10878591611981392,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
43,0.10839265584945679,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
44,0.10519484058022499,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
45,0.10889351740479469,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
46,0.10919800773262978,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
47,0.11088388785719872,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
48,0.10749535635113716,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
49,0.10895420983433723,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
50,0.10809991136193275,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
51,0.10943221300840378,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
52,0.10816329717636108,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
53,0.10889076441526413,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
54,0.10815576836466789,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
55,0.11582398787140846,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
56,0.11347218602895737,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
57,0.10778835043311119,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
58,0.10818492248654366,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
59,0.10856496170163155,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
60,0.10897490009665489,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
61,0.10849275067448616,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
62,0.10883655399084091,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
63,0.10814602673053741,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
64,0.10986627265810966,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
65,0.11035016551613808,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
66,0.11381055787205696,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
67,0.10866731777787209,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
68,0.11051660776138306,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
69,0.10865295678377151,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
70,0.10912378504872322,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
71,0.1052287332713604,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
72,0.10766638442873955,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
73,0.10720359534025192,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
74,0.10931651294231415,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
75,0.1074041947722435,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
76,0.10759874433279037,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
77,0.10894598439335823,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
78,0.10721290111541748,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
79,0.10652253031730652,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
80,0.1081005409359932,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
81,0.10813648253679276,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
82,0.10809816047549248,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
83,0.10388076305389404,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
84,0.10700856149196625,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
85,0.10699780285358429,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
86,0.10913165658712387,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
87,0.10788600146770477,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
88,0.107137531042099,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
89,0.10844042897224426,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
90,0.10747328028082848,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
91,0.10780811309814453,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
92,0.10781279951334,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
93,0.1079053021967411,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
94,0.10716214403510094,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
95,0.1072910763323307,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
96,0.10768222063779831,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
97,0.10771279409527779,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
98,0.10538949817419052,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
99,0.10804382339119911,119.82666015625,109.1572265625,Grad_CAM_plus_plus,vit-b-16,ImageNet,1
