image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.01988120749592781,83.41064453125,82.26220703125,Grad_CAM,resnet50,CIFAR10,1
1,0.019626278430223465,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
2,0.019978690892457962,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
3,0.020008191466331482,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
4,0.02035808190703392,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
5,0.019939623773097992,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
6,0.01988852769136429,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
7,0.019945688545703888,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
8,0.02046370506286621,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
9,0.020169410854578018,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
10,0.019711069762706757,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
11,0.018447503447532654,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
12,0.018639706075191498,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
13,0.01949714496731758,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
14,0.01975320279598236,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
15,0.020638924092054367,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
16,0.019532792270183563,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
17,0.01878456398844719,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
18,0.01941339671611786,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
19,0.01860126107931137,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
20,0.01955738663673401,83.47314453125,82.32470703125,Grad_CAM,resnet50,CIFAR10,1
