image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.0064143219497054815,211.5390625,83.93017578125,Grad_CAM,resnet50,STL10,1
1,0.006776632042601705,212.05859375,84.44970703125,Grad_CAM,resnet50,STL10,1
2,0.0067794539500027895,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
3,0.006511596031486988,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
4,0.007202282082289457,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
5,0.006650130031630397,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
6,0.006537461886182427,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
7,0.006916581187397242,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
8,0.006554701831191778,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
9,0.006598243955522776,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
10,0.00652288505807519,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
11,0.006638977909460664,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
12,0.006537118926644325,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
13,0.0064714530017226934,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
14,0.0065483099315315485,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
15,0.006540745962411165,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
16,0.006462866207584739,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
17,0.006478612078353763,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
18,0.006581072928383946,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
19,0.006443472113460302,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
20,0.006504128919914365,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
21,0.0064672359731048346,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
22,0.00655795494094491,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
23,0.006414703093469143,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
24,0.0067030449863523245,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
25,0.0066517970990389585,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
26,0.006493167020380497,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
27,0.006534504005685449,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
28,0.006522824987769127,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
29,0.006551054073497653,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
30,0.006478962022811174,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
31,0.006491041975095868,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
32,0.006483880104497075,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
33,0.006494819885119796,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
34,0.006504312856122851,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
35,0.0065505909733474255,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
36,0.007172929821535945,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
37,0.006714695133268833,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
38,0.006622649962082505,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
39,0.0065609009470790625,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
40,0.0065723571460694075,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
41,0.006580163957551122,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
42,0.006586438976228237,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
43,0.0065495779272168875,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
44,0.006554052932187915,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
45,0.0065297349356114864,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
46,0.006440025055781007,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
47,0.0063969341572374105,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
48,0.006382126826792955,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
49,0.006440548924729228,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
50,0.006427999818697572,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
51,0.006561843911185861,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
52,0.006540138041600585,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
53,0.00644662301056087,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
54,0.006395817967131734,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
55,0.006424949038773775,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
56,0.0064710460137575865,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
57,0.006439666962251067,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
58,0.006503436015918851,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
59,0.006953610107302666,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
60,0.006675004027783871,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
61,0.006539352936670184,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
62,0.006606836104765534,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
63,0.006466635037213564,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
64,0.006578641012310982,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
65,0.006601820001378655,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
66,0.006608888972550631,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
67,0.006594004109501839,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
68,0.00657504191622138,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
69,0.006586933974176645,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
70,0.006551619851961732,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
71,0.0065884520299732685,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
72,0.006488948129117489,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
73,0.006433025933802128,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
74,0.0066414219327270985,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
75,0.006495860172435641,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
76,0.006516515975818038,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
77,0.006567233940586448,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
78,0.006620070897042751,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
79,0.006479369010776281,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
80,0.006484819110482931,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
81,0.006486237980425358,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
82,0.006487091071903706,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
83,0.006492492044344544,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
84,0.006462869932875037,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
85,0.006522709969431162,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
86,0.006544145056977868,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
87,0.00645866896957159,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
88,0.00639405706897378,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
89,0.0064336860086768866,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
90,0.0064653679728507996,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
91,0.006648882990702987,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
92,0.006659630918875337,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
93,0.006530252052471042,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
94,0.006520627997815609,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
95,0.006499154027551413,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
96,0.006532636936753988,208.96484375,81.35595703125,Grad_CAM,resnet50,STL10,1
