image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04804643616080284,154.66552734375,151.77734375,Grad_CAM,vit-b-16,CIFAR10,1
1,0.048429425805807114,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
2,0.04851426184177399,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
3,0.04879803583025932,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
4,0.05107970908284187,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
5,0.060043904930353165,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
6,0.04718460887670517,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
7,0.04679204151034355,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
8,0.04758322983980179,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
9,0.047586530447006226,149.7353515625,146.84716796875,Grad_CAM,vit-b-16,CIFAR10,1
