image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.009635641006752849,118.05419921875,115.166015625,Grad_CAM,vit-b-16,STL10,1
1,0.009507316863164306,117.42529296875,114.537109375,Grad_CAM,vit-b-16,STL10,1
2,0.009525219909846783,116.63427734375,113.74609375,Grad_CAM,vit-b-16,STL10,1
3,0.009506500093266368,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
4,0.009504051879048347,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
5,0.009018683107569814,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
6,0.009450031910091639,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
7,0.009322532918304205,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
8,0.009448047960177064,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
9,0.009251595940440893,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
10,0.009409925900399685,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
11,0.009374964982271194,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
12,0.009354971116408706,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
13,0.00825655204243958,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
14,0.00816507893614471,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
15,0.008244071155786514,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
16,0.008275737054646015,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
17,0.008076627040281892,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
18,0.00825212406925857,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
19,0.008243953110650182,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
20,0.008276327047497034,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
21,0.008101025829091668,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
22,0.008199787000194192,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
23,0.008107646834105253,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
24,0.008264872012659907,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
25,0.008222014177590609,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
26,0.008263765135779977,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
27,0.008281431859359145,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
28,0.00829276000149548,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
29,0.008123742183670402,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
30,0.008173987967893481,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
31,0.008228688035160303,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
32,0.008115219185128808,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
33,0.008191128028556705,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
34,0.008273490006104112,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
35,0.008140568854287267,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
36,0.008087072055786848,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
37,0.008215014124289155,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
38,0.00825643795542419,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
39,0.008418963989242911,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
40,0.008174387970939279,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
41,0.008279107976704836,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
42,0.008297589141875505,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
43,0.008049560012295842,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
44,0.008161813952028751,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
45,0.008142722072079778,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
46,0.008275971049442887,114.56005859375,111.671875,Grad_CAM,vit-b-16,STL10,1
