image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.2957829609513283,536.9951171875,0.57421875,GradientShap,convnext-t,CIFAR10,1
1,0.267148919403553,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
2,0.273673839867115,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
3,0.27565938234329224,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
4,0.3037484809756279,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
5,0.2773154266178608,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
6,0.3111090622842312,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
7,0.28434930369257927,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
8,0.2867543324828148,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
9,0.31765934079885483,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
10,0.28725648298859596,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
11,0.2643743194639683,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
12,0.2653561271727085,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
13,0.3013889454305172,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
14,0.28389784693717957,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
15,0.27968303114175797,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
16,0.3089011013507843,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
17,0.3057813234627247,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
18,0.30138149112463,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
19,0.2774423733353615,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
20,0.2803405746817589,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
21,0.28341134637594223,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
22,0.2899046465754509,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
23,0.2724265195429325,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
24,0.27006613463163376,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
25,0.2681301534175873,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
26,0.2768084332346916,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
27,0.2840143255889416,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
28,0.28874392062425613,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
29,0.3070431686937809,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
30,0.3068981505930424,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
31,0.285709623247385,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
32,0.30652111396193504,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
33,0.28619369491934776,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
34,0.2645835243165493,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
35,0.26802488788962364,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
36,0.30338161066174507,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
37,0.2973938509821892,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
38,0.268957257270813,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
39,0.29430975764989853,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
40,0.27281472831964493,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
41,0.2797231674194336,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
42,0.2947773076593876,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
43,0.28742190077900887,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
44,0.2653552144765854,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
45,0.27271197736263275,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
46,0.29361769184470177,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
47,0.27613626793026924,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
48,0.29010995849967003,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
49,0.28962675482034683,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
50,0.26337574794888496,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
51,0.2954990863800049,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
52,0.311210785061121,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
53,0.31344979256391525,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
54,0.3173445127904415,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
55,0.30527543649077415,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
56,0.3101504221558571,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
57,0.2822872959077358,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
58,0.2868223004043102,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
59,0.2651406489312649,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
60,0.30460120365023613,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
61,0.26386839896440506,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
62,0.26999932527542114,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
63,0.27937814593315125,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
64,0.3085913546383381,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
65,0.27834048867225647,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
66,0.30535848811268806,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
67,0.28676916658878326,541.7548828125,0.57421875,GradientShap,convnext-t,CIFAR10,1
