image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.013738461770117283,537.6513671875,0.57421875,GradientShap,convnext-t,CIFAR10,1
1,0.016043470008298755,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
2,0.0159229279961437,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
3,0.016281459014862776,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
4,0.015984511002898216,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
5,0.016139375045895576,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
6,0.0167444150429219,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
7,0.016127807088196278,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
8,0.016079111956059933,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
9,0.016193268122151494,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
10,0.016015369910746813,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
11,0.016224954975768924,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
12,0.01638150797225535,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
13,0.01605557417497039,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
14,0.01757611194625497,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
15,0.01634757616557181,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
16,0.01636888599023223,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
17,0.01644302811473608,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
18,0.016257782001048326,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
19,0.016206580912694335,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
20,0.01621187711134553,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
21,0.016234795097261667,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
22,0.01627423195168376,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
23,0.016127025010064244,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
24,0.01614057389087975,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
25,0.01638367003761232,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
26,0.016188814071938396,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
27,0.016158557031303644,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
28,0.016365231946110725,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
29,0.01610650517977774,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
30,0.016018626978620887,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
31,0.01590118184685707,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
32,0.016190272057428956,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
33,0.01596148288808763,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
34,0.016078850952908397,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
35,0.016127187060192227,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
36,0.016140447929501534,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
37,0.016137630911543965,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
38,0.015880719060078263,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
39,0.016407434828579426,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
40,0.016277982853353024,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
41,0.01619475311599672,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
42,0.017206204123795033,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
43,0.01644366909749806,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
44,0.016369353979825974,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
45,0.01641249586828053,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
46,0.016169635113328695,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
47,0.015959706157445908,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
48,0.01634027319960296,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
49,0.01666479092091322,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
50,0.016305306926369667,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
51,0.01611248403787613,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
52,0.01628138404339552,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
53,0.016388450982049108,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
54,0.016083427937701344,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
55,0.016412317054346204,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
56,0.01644192007370293,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
57,0.016286389902234077,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
58,0.016091299010440707,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
59,0.017262730980291963,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
60,0.01716721896082163,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
61,0.016851463820785284,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
62,0.016675482969731092,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
63,0.017071692971512675,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
64,0.016782111022621393,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
65,0.016674984944984317,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
66,0.016756545985117555,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
67,0.016639577923342586,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
68,0.017857581144198775,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
69,0.016784884966909885,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
70,0.01667152694426477,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
71,0.01661898707970977,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
72,0.01667443197220564,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
73,0.016505507985129952,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
74,0.016691407887265086,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
75,0.016611438943073153,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
76,0.016799735836684704,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
77,0.016498464858159423,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
78,0.016345429932698607,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
79,0.01661279913969338,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
80,0.016673577949404716,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
81,0.016651877900585532,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
82,0.016800345852971077,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
83,0.016720537096261978,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
84,0.016712045995518565,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
85,0.01676754793152213,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
86,0.01699667703360319,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
87,0.016597475158050656,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
88,0.01648665009997785,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
89,0.016668720869347453,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
90,0.016608901089057326,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
91,0.016710933996364474,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
92,0.01664980687201023,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
93,0.01666086120530963,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
94,0.016599141061306,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
95,0.016545688034966588,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
96,0.016649418976157904,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
97,0.016611900879070163,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
98,0.01674472796730697,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
99,0.016514403047040105,541.7919921875,0.57421875,GradientShap,convnext-t,CIFAR10,1
