image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.29172196239233017,550.4013671875,0.57421875,GradientShap,convnext-t,ImageNet,1
1,0.2629891596734524,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
2,0.27379579469561577,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
3,0.2794179320335388,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
4,0.28620344027876854,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
5,0.3135190084576607,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
6,0.2885311096906662,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
7,0.3059981130063534,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
8,0.30594802647829056,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
9,0.28573450818657875,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
10,0.26554128900170326,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
11,0.31862111389636993,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
12,0.2660316526889801,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
13,0.2687510661780834,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
14,0.2717207483947277,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
15,0.28485555201768875,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
16,0.2653866931796074,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
17,0.2656444385647774,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
18,0.27297909930348396,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
19,0.2829055041074753,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
20,0.3106827139854431,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
21,0.2988211214542389,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
22,0.2744499035179615,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
23,0.2839137837290764,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
24,0.26545189693570137,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
25,0.32122302427887917,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
26,0.30925699695944786,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
27,0.26812322810292244,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
28,0.2704283632338047,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
29,0.2747931554913521,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
30,0.3013637103140354,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
31,0.27876636013388634,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
32,0.30565139278769493,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
33,0.30334222316741943,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
34,0.2795597240328789,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
35,0.3063170313835144,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
36,0.2825382612645626,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
37,0.26801665499806404,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
38,0.2653529420495033,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
39,0.27503184601664543,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
40,0.27892741933465004,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
41,0.28643861413002014,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
42,0.2952079176902771,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
43,0.29140474647283554,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
44,0.31004805862903595,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
45,0.265640988945961,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
46,0.30120406299829483,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
47,0.32046446576714516,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
48,0.267595075070858,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
49,0.29945849999785423,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
50,0.316586434841156,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
51,0.3171069845557213,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
52,0.2660623602569103,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
53,0.30813973024487495,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
54,0.2670999504625797,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
55,0.29852307215332985,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
56,0.26887666061520576,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
57,0.2770240008831024,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
58,0.282841969281435,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
59,0.2881550304591656,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
60,0.2663649581372738,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
61,0.2701825015246868,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
62,0.27632860094308853,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
63,0.2812209166586399,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
64,0.28899862617254257,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
65,0.26594382151961327,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
66,0.2702009342610836,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
67,0.30712584778666496,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
68,0.2715359702706337,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
69,0.27742931619286537,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
70,0.30393584445118904,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
71,0.2959190160036087,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
72,0.28036101162433624,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
73,0.28744398057460785,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
74,0.28918902203440666,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
75,0.29010777547955513,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
76,0.26818330213427544,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
77,0.26480620726943016,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
78,0.2775527723133564,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
79,0.2826733849942684,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
80,0.2855708673596382,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
81,0.3056284785270691,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
82,0.2896043658256531,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
83,0.29272084683179855,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
84,0.26794878020882607,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
85,0.29571279510855675,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
86,0.27142032235860825,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
87,0.30090219154953957,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
88,0.26689431816339493,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
89,0.30524318665266037,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
90,0.299917321652174,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
91,0.31024129688739777,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
92,0.2991873361170292,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
93,0.2684559151530266,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
94,0.2759559415280819,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
95,0.30837585031986237,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
96,0.27879395708441734,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
97,0.2836807146668434,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
98,0.297754880040884,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
99,0.2644753269851208,541.0478515625,0.57421875,GradientShap,convnext-t,ImageNet,1
