image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.13352007418870926,548.2060546875,0.57421875,GradientShap,convnext-t,STL10,1
1,0.1277426742017269,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
2,0.13548780605196953,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
3,0.12825171276926994,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
4,0.13117868080735207,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
5,0.1365325152873993,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
6,0.13174284994602203,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
7,0.1405220590531826,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
8,0.12585796415805817,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
9,0.12753715738654137,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
10,0.13830869644880295,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
11,0.14266568049788475,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
12,0.13234956935048103,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
13,0.13024435192346573,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
14,0.1343088261783123,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
15,0.13670283555984497,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
16,0.13343509286642075,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
17,0.13350776582956314,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
18,0.13305925577878952,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
19,0.136161670088768,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
20,0.13089481741189957,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
21,0.1369221806526184,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
22,0.13397766649723053,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
23,0.14256273582577705,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
24,0.15589026361703873,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
25,0.15244942530989647,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
26,0.15514525026082993,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
27,0.15304117277264595,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
28,0.15488946810364723,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
29,0.14111186563968658,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
30,0.150476586073637,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
31,0.14874771237373352,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
32,0.1548481360077858,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
33,0.1531703919172287,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
34,0.1454719379544258,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
35,0.15354395285248756,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
36,0.15444424748420715,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
37,0.15247893333435059,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
38,0.1511632278561592,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
39,0.14924557507038116,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
40,0.25558236986398697,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
41,0.2561887167394161,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
42,0.25456642732024193,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
43,0.25524889677762985,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
44,0.25398825854063034,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
45,0.2558872029185295,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
46,0.2559618800878525,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
47,0.2542274110019207,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
48,0.256097748875618,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
49,0.2551749162375927,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
50,0.2544488050043583,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
51,0.2538509666919708,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
52,0.2536826394498348,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
53,0.25454918667674065,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
54,0.2541915103793144,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
55,0.25404907390475273,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
56,0.25344186648726463,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
57,0.25453876703977585,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
58,0.255526103079319,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
59,0.2547166794538498,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
60,0.2555326707661152,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
61,0.2547599822282791,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
62,0.2561256065964699,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
63,0.2559596225619316,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
64,0.2557033710181713,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
65,0.25717099010944366,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
66,0.2557581700384617,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
67,0.2543748468160629,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
68,0.2558363191783428,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
69,0.25478125736117363,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
70,0.2556368447840214,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
71,0.2541624531149864,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
72,0.25551341846585274,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
73,0.2561235837638378,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
74,0.2556997537612915,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
75,0.25584851577878,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
76,0.25315726175904274,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
77,0.25671660527586937,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
78,0.2558959275484085,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
79,0.2542896308004856,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
80,0.25486524030566216,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
81,0.25566979870200157,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
82,0.2548608221113682,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
83,0.256129615008831,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
84,0.2545902356505394,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
85,0.255825225263834,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
86,0.2535058222711086,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
87,0.256339967250824,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
88,0.25537019595503807,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
89,0.2560820057988167,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
90,0.25520531088113785,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
91,0.25550444796681404,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
92,0.2545855790376663,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
93,0.255116768181324,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
94,0.25432055443525314,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
95,0.2556327022612095,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
96,0.2551342397928238,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
97,0.2550661452114582,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
98,0.25498952716588974,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
99,0.2552826888859272,539.6396484375,0.57421875,GradientShap,convnext-t,STL10,1
