image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.0819225125014782,653.27490234375,0.57421875,GradientShap,densenet121,CIFAR10,1
1,0.0815313458442688,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
2,0.08193882182240486,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
3,0.08176542446017265,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
4,0.08223287388682365,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
5,0.08188091963529587,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
6,0.08218669146299362,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
7,0.08164544403553009,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
8,0.08230637013912201,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
9,0.08182337880134583,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
10,0.08158393204212189,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
11,0.0815679207444191,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
12,0.07806280627846718,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
13,0.0787024050951004,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
14,0.07862300798296928,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
15,0.08240154385566711,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
16,0.08174039050936699,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
17,0.0816371850669384,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
18,0.0814468078315258,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
19,0.08192772045731544,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
20,0.08157659322023392,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
21,0.0784042440354824,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
22,0.08237015828490257,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
23,0.08020413294434547,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
24,0.08141219615936279,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
25,0.08224109187722206,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
26,0.08168576657772064,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
27,0.07457171753048897,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
28,0.08189797401428223,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
29,0.08264020457863808,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
30,0.08201638236641884,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
31,0.08269466459751129,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
32,0.08194182440638542,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
33,0.07353615388274193,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
34,0.08049967512488365,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
35,0.08163951709866524,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
36,0.08186144754290581,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
37,0.08007074519991875,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
38,0.08143416792154312,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
39,0.08242141455411911,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
40,0.08209667354822159,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
41,0.08393364772200584,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
42,0.08221852406859398,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
43,0.08206465095281601,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
44,0.08215361833572388,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
45,0.08303586021065712,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
46,0.08123389258980751,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
47,0.0825117863714695,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
48,0.07901761680841446,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
49,0.08382624015212059,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
50,0.08231041207909584,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
51,0.0810650996863842,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
52,0.08212300017476082,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
53,0.08143037930130959,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
54,0.08069200068712234,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
55,0.08210238814353943,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
56,0.08205569162964821,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
57,0.08271359652280807,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
58,0.08190500736236572,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
59,0.08173074573278427,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
60,0.08185280859470367,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
61,0.08177438750863075,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
62,0.08341052010655403,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
63,0.08232507109642029,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
64,0.0830010361969471,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
65,0.08192350715398788,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
66,0.08257700875401497,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
67,0.08246166631579399,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
68,0.08302712067961693,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
69,0.08264685422182083,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
70,0.08216586709022522,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
71,0.08290077745914459,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
72,0.08177606016397476,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
73,0.08216023072600365,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
74,0.08118186518549919,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
75,0.08118552714586258,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
76,0.08175636827945709,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
77,0.08230269700288773,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
78,0.08271220326423645,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
79,0.08253081515431404,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
80,0.08224211260676384,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
81,0.0821191594004631,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
82,0.08176862075924873,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
83,0.08374970033764839,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
84,0.08202651515603065,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
85,0.08188092336058617,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
86,0.08215552940964699,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
87,0.08226810395717621,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
88,0.08135529980063438,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
89,0.08175094798207283,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
90,0.08110445737838745,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
91,0.0813511274755001,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
92,0.08183134719729424,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
93,0.08166314661502838,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
94,0.08239508047699928,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
95,0.08151381090283394,653.46142578125,0.57421875,GradientShap,densenet121,CIFAR10,1
