image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.09119658917188644,646.04638671875,0.57421875,GradientShap,densenet121,ImageNet,1
1,0.10072724148631096,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
2,0.11122376099228859,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
3,0.09962086379528046,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
4,0.10876939445734024,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
5,0.11030801758170128,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
6,0.10382704064249992,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
7,0.1046089418232441,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
8,0.10344703122973442,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
9,0.10630189627408981,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
10,0.11120248213410378,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
11,0.12240629643201828,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
12,0.12458670139312744,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
13,0.10044961795210838,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
14,0.09706784412264824,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
15,0.13196001201868057,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
16,0.13547056540846825,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
17,0.1251782514154911,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
18,0.11186997219920158,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
19,0.10548290237784386,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
20,0.10919898375868797,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
21,0.10393297299742699,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
22,0.1014191247522831,649.4755859375,0.57421875,GradientShap,densenet121,ImageNet,1
