image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.05683569610118866,649.87451171875,0.57421875,GradientShap,densenet121,STL10,1
1,0.08146849647164345,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
2,0.08139556273818016,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
3,0.08220658451318741,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
4,0.07693666219711304,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
5,0.07838547229766846,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
6,0.07722458243370056,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
7,0.0830615721642971,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
8,0.08360807225108147,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
9,0.08499738201498985,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
10,0.08586818724870682,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
11,0.08500401303172112,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
12,0.08352795615792274,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
13,0.08574660867452621,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
14,0.08481812849640846,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
15,0.08161962032318115,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
16,0.08193076029419899,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
17,0.07915593683719635,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
18,0.0859578363597393,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
19,0.08359656482934952,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
20,0.08476954326033592,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
21,0.08417775481939316,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
22,0.08401092514395714,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
23,0.08556103706359863,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
24,0.08463801443576813,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
25,0.08001488447189331,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
26,0.08704464882612228,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
27,0.07790223509073257,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
28,0.08075796067714691,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
29,0.0805535726249218,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
30,0.07966063171625137,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
31,0.08218051493167877,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
32,0.0835428312420845,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
33,0.08589877933263779,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
34,0.0835353173315525,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
35,0.0853157602250576,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
36,0.08660058304667473,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
37,0.0820305161178112,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
38,0.0792352594435215,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
39,0.08384137973189354,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
40,0.08489758521318436,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
41,0.08528506383299828,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
42,0.08469909802079201,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
43,0.08500205725431442,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
44,0.0846538208425045,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
45,0.08264360204339027,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
46,0.08489890024065971,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
47,0.08362586423754692,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
48,0.08535390347242355,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
49,0.08165186271071434,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
50,0.08431070670485497,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
51,0.08527937158942223,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
52,0.08276982605457306,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
53,0.07556253671646118,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
54,0.08123878017067909,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
55,0.08119062334299088,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
56,0.07990114763379097,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
57,0.08022340387105942,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
58,0.08321905508637428,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
59,0.0818648412823677,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
60,0.07637728005647659,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
61,0.08125607669353485,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
62,0.08132458478212357,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
63,0.08070538938045502,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
64,0.08384882286190987,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
65,0.08381815999746323,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
66,0.08622035011649132,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
67,0.08426991105079651,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
68,0.08448947593569756,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
69,0.08524622395634651,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
70,0.08450871333479881,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
71,0.08343667536973953,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
72,0.08419730514287949,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
73,0.08490408584475517,649.30029296875,0.57421875,GradientShap,densenet121,STL10,1
