image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.034748023841530085,770.4189453125,0.57421875,GradientShap,densenet121,STL10,1
1,0.03752198303118348,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
2,0.03782168496400118,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
3,0.03772963001392782,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
4,0.03777366294525564,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
5,0.03700988693162799,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
6,0.03768404619768262,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
7,0.03785340581089258,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
8,0.03733764518983662,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
9,0.03753211093135178,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
10,0.0380332509521395,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
11,0.038077004021033645,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
12,0.037579337134957314,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
13,0.037930901162326336,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
14,0.03758596512489021,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
15,0.03726771497167647,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
16,0.037675033090636134,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
17,0.038090860936790705,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
18,0.03754069097340107,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
19,0.03742573410272598,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
20,0.03742003091610968,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
21,0.03726666700094938,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
22,0.038457986898720264,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
23,0.0379115859977901,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
24,0.03768220986239612,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
25,0.037545539904385805,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
26,0.04234112403355539,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
27,0.039160388987511396,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
28,0.0379248159006238,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
29,0.03751619905233383,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
30,0.038991702953353524,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
31,0.038085954962298274,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
32,0.03787110582925379,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
33,0.037783902836963534,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
34,0.03716701804660261,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
35,0.03774074511602521,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
36,0.03795741684734821,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
37,0.03756108204834163,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
38,0.038745159981772304,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
39,0.037944637006148696,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
40,0.03754261299036443,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
41,0.03785055596381426,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
42,0.0382834009360522,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
43,0.03759948816150427,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
44,0.03756444598548114,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
45,0.03779978002421558,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
46,0.03793606092222035,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
47,0.03773461398668587,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
48,0.03946384508162737,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
49,0.03784250095486641,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
50,0.03811428905464709,767.18798828125,0.57421875,GradientShap,densenet121,STL10,1
