image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.052320096641778946,440.92919921875,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
1,0.04934978485107422,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
2,0.05746256932616234,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
3,0.06571261584758759,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
4,0.07293401286005974,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
5,0.06312764808535576,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
6,0.07152298092842102,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
7,0.09341113269329071,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
8,0.06566004082560539,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
9,0.06794292479753494,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
10,0.07087612897157669,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
11,0.05873168632388115,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
12,0.06637589260935783,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
13,0.06818703189492226,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
14,0.06977203860878944,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
15,0.06799998134374619,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
16,0.06493901088833809,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
17,0.05911950021982193,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
18,0.060697320848703384,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
19,0.0608530230820179,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
20,0.05834659934043884,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
21,0.06422954052686691,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
22,0.058564141392707825,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
23,0.0820523127913475,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
24,0.06408007815480232,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
25,0.07320792973041534,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
26,0.07117844745516777,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
27,0.07050248235464096,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
28,0.08351821079850197,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
29,0.08304184675216675,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
30,0.09062831476330757,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
31,0.0635145865380764,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
32,0.0628066137433052,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
33,0.06253261119127274,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
34,0.06371983885765076,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
35,0.06329186633229256,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
36,0.0702439732849598,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
37,0.07650671526789665,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
38,0.09110349789261818,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
39,0.09191040322184563,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
40,0.05941004306077957,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
41,0.06575413420796394,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
42,0.05670136958360672,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
43,0.06300007924437523,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
44,0.058906588703393936,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
45,0.07139117643237114,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
46,0.0722874253988266,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
47,0.0605010949075222,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
48,0.07333221659064293,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
49,0.06782720237970352,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
50,0.06656693294644356,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
51,0.06970043480396271,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
52,0.09206691384315491,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
53,0.0815008357167244,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
54,0.05694625899195671,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
55,0.060315053910017014,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
56,0.06446105241775513,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
57,0.08189805969595909,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
58,0.07461629807949066,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
59,0.07538386806845665,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
60,0.07854783162474632,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
61,0.08626505732536316,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
62,0.058088671416044235,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
63,0.06140173599123955,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
64,0.0899047926068306,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
65,0.06563830003142357,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
66,0.07822335883975029,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
67,0.06036067381501198,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
68,0.0686715580523014,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
69,0.05983775854110718,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
70,0.06656088307499886,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
71,0.07536559924483299,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
72,0.06379928812384605,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
73,0.05940145626664162,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
74,0.07041608542203903,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
75,0.06719117611646652,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
76,0.059663742780685425,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
77,0.06275314092636108,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
78,0.07058627903461456,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
79,0.06553003191947937,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
80,0.07612255960702896,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
81,0.09185696393251419,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
82,0.09026078134775162,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
83,0.06793121621012688,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
84,0.06524169445037842,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
85,0.06391454488039017,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
86,0.07346552982926369,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
87,0.07014776766300201,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
88,0.083977360278368,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
89,0.08681411668658257,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
90,0.06489168852567673,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
91,0.06685295328497887,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
92,0.05695463344454765,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
93,0.06682948768138885,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
94,0.05917271971702576,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
95,0.05882686749100685,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
96,0.08720183372497559,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
97,0.07994692772626877,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
98,0.05893212929368019,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
99,0.07150360569357872,439.7578125,0.57421875,GradientShap,efficientnet-b0,CIFAR10,1
