image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.026952657848596573,444.28662109375,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
1,0.03698299080133438,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
2,0.030531011521816254,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
3,0.034632567316293716,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
4,0.043007563799619675,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
5,0.03709171339869499,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
6,0.03797939047217369,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
7,0.03565234690904617,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
8,0.04842750355601311,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
9,0.04194660112261772,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
10,0.04900709167122841,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
11,0.046103980392217636,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
12,0.048229116946458817,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
13,0.044323958456516266,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
14,0.04528561979532242,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
15,0.04661175236105919,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
16,0.0490354560315609,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
17,0.04482821747660637,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
18,0.04596107825636864,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
19,0.04686371609568596,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
20,0.06108544021844864,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
21,0.04744910076260567,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
22,0.052789121866226196,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
23,0.045592594891786575,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
24,0.057239171117544174,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
25,0.03681594878435135,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
26,0.05386509373784065,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
27,0.04851480945944786,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
28,0.04536989703774452,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
29,0.04521094262599945,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
30,0.05500924959778786,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
31,0.03934970125555992,439.20166015625,0.57421875,GradientShap,efficientnet-b0,ImageNet,1
