image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04136158898472786,459.2412109375,0.57421875,GradientShap,resnet50,CIFAR10,1
1,0.04464427009224892,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
2,0.04521799832582474,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
3,0.04372347146272659,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
4,0.04974782466888428,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
5,0.045153163373470306,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
6,0.040057867765426636,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
7,0.04226125404238701,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
8,0.04667413979768753,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
9,0.04505793750286102,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
10,0.04202655702829361,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
11,0.04279877617955208,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
12,0.04522063955664635,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
13,0.044805366545915604,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
14,0.04230068624019623,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
15,0.044177331030368805,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
16,0.04493491351604462,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
17,0.042148906737565994,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
18,0.044696711003780365,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
19,0.04396478831768036,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
20,0.044738683849573135,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
21,0.046252716332674026,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
22,0.04588478431105614,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
23,0.04450886696577072,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
24,0.04916961118578911,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
25,0.04261146858334541,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
26,0.04369641840457916,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
27,0.04547681659460068,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
28,0.04261127859354019,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
29,0.04364773631095886,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
30,0.04555801674723625,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
31,0.04320288822054863,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
32,0.04350508004426956,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
33,0.044859740883111954,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
34,0.0428510457277298,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
35,0.04287328943610191,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
36,0.03879094123840332,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
37,0.04540582001209259,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
38,0.045075345784425735,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
39,0.04577161371707916,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
40,0.04898729547858238,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
41,0.0421115905046463,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
42,0.04071931168437004,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
43,0.046325359493494034,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
44,0.042356546968221664,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
45,0.04152098298072815,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
46,0.043777115643024445,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
47,0.04187573492527008,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
48,0.047242172062397,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
49,0.04320302978157997,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
50,0.042354632169008255,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
51,0.04798176884651184,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
52,0.04346444085240364,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
53,0.04242128133773804,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
54,0.0454401969909668,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
55,0.04358953610062599,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
56,0.04600031301379204,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
57,0.04336842522025108,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
58,0.043135177344083786,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
59,0.044299088418483734,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
60,0.043313056230545044,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
61,0.042948074638843536,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
62,0.044857025146484375,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
63,0.044771261513233185,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
64,0.04844116047024727,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
65,0.0467846617102623,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
66,0.039194509387016296,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
67,0.04732425510883331,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
68,0.044987086206674576,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
69,0.04351132735610008,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
70,0.040832288563251495,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
71,0.043961260467767715,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
72,0.04315970838069916,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
73,0.04414623603224754,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
74,0.04399867355823517,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
75,0.04666168615221977,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
76,0.047950249165296555,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
77,0.04335499927401543,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
78,0.042736414819955826,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
79,0.04601029306650162,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
80,0.04174240678548813,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
81,0.042878326028585434,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
82,0.04479820653796196,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
83,0.0420905239880085,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
84,0.047946747392416,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
85,0.04470376297831535,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
86,0.04490860179066658,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
87,0.04588735103607178,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
88,0.04435534402728081,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
89,0.0444604828953743,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
90,0.04985416308045387,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
91,0.04468716308474541,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
92,0.043279413133859634,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
93,0.04628667235374451,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
94,0.0427885502576828,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
95,0.04302135109901428,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
96,0.044167742133140564,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
97,0.04491283372044563,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
98,0.04352670535445213,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
99,0.04309091717004776,458.5732421875,0.57421875,GradientShap,resnet50,CIFAR10,1
