image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.015848783077672124,552.6572265625,0.57421875,GradientShap,resnet50,CIFAR10,1
1,0.016938225831836462,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
2,0.01684750895947218,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
3,0.016705204965546727,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
4,0.01666400209069252,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
5,0.0167161519639194,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
6,0.01648465800099075,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
7,0.016460001934319735,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
8,0.016814469126984477,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
9,0.016485226107761264,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
10,0.01650639297440648,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
11,0.016498231096193194,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
12,0.01651160605251789,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
13,0.01671981206163764,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
14,0.01674059685319662,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
15,0.016482809092849493,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
16,0.016718309838324785,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
17,0.01633771904744208,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
18,0.01632825192064047,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
19,0.01652469881810248,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
20,0.016706452006474137,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
21,0.016519728116691113,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
22,0.016579480841755867,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
23,0.01629738206975162,549.7197265625,0.57421875,GradientShap,resnet50,CIFAR10,1
