image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.08151271939277649,768.9208984375,0.57421875,GradientShap,vit-b-16,CIFAR10,1
1,0.09279586374759674,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
2,0.08858132734894753,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
3,0.08847187086939812,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
4,0.08884326368570328,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
5,0.08411957323551178,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
6,0.08754114434123039,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
7,0.0891694463789463,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
8,0.092999167740345,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
9,0.08882023394107819,771.236328125,0.57421875,GradientShap,vit-b-16,CIFAR10,1
