image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.07866393774747849,627.79296875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
1,0.09214316681027412,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
2,0.09089195355772972,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
3,0.08676905930042267,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
4,0.0951710194349289,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
5,0.09727093949913979,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
6,0.09304995089769363,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
7,0.09581650048494339,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
8,0.09130199998617172,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
9,0.09024038165807724,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
10,0.09331788867712021,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
11,0.09790987893939018,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
12,0.08765310049057007,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
13,0.12714959308505058,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
14,0.10103300213813782,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
15,0.09881091117858887,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
16,0.11155162751674652,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
17,0.09471038356423378,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
18,0.11549205705523491,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
19,0.0841749981045723,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
20,0.10277841240167618,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
21,0.0841175727546215,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
22,0.10771356895565987,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
23,0.09546300768852234,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
24,0.08404006436467171,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
25,0.08008826524019241,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
26,0.09730401262640953,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
27,0.08773044496774673,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
28,0.0830940529704094,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
29,0.08472730219364166,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
30,0.10405617579817772,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
31,0.11665154248476028,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
32,0.11670194193720818,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
33,0.08679430931806564,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
34,0.10179293528199196,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
35,0.08904429525136948,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
36,0.09062720090150833,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
37,0.12165892124176025,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
38,0.11152097582817078,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
39,0.08421377465128899,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
40,0.08780673891305923,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
41,0.08591337129473686,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
42,0.08830861747264862,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
43,0.09923179820179939,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
44,0.09258249774575233,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
45,0.08753176033496857,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
46,0.1259484738111496,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
47,0.11676664277911186,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
48,0.08025746420025826,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
49,0.10097622498869896,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
50,0.09549196437001228,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
51,0.08244746178388596,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
52,0.0864391103386879,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
53,0.0793771930038929,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
54,0.08977724984288216,625.046875,0.57421875,GradientShap,vit-b-16,CIFAR10,1
