image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.028139498084783554,630.75,0.57421875,GradientShap,vit-b-16,ImageNet,1
1,0.02236167504452169,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
2,0.021962549071758986,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
3,0.021477784030139446,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
4,0.021416810108348727,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
5,0.021233069011941552,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
6,0.021447841078042984,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
7,0.021339371101930737,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
8,0.021310199983417988,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
9,0.021317040780559182,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
10,0.0240961741656065,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
11,0.021321644075214863,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
12,0.021626561880111694,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
13,0.021599687868729234,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
14,0.021735106129199266,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
15,0.021346722031012177,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
16,0.021348987938836217,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
17,0.02136670588515699,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
18,0.021619490114971995,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
19,0.02129241405054927,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
20,0.02140372688882053,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
21,0.02154785394668579,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
22,0.021320274099707603,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
23,0.02149632410146296,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
24,0.021556954132393003,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
25,0.022266758838668466,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
26,0.021878174040466547,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
27,0.021321533946320415,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
28,0.021344081964343786,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
29,0.02173140784725547,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
30,0.021368240006268024,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
31,0.021503674099221826,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
32,0.02172541501931846,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
33,0.021387206856161356,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
34,0.021662390092387795,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
35,0.021973626920953393,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
36,0.021566949086263776,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
37,0.021314597921445966,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
38,0.021789904916658998,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
39,0.021705499850213528,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
40,0.021617981838062406,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
41,0.022744630929082632,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
42,0.02137987781316042,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
43,0.021682628197595477,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
44,0.021362164057791233,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
45,0.021943519124761224,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
46,0.021948743145912886,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
47,0.02180955815128982,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
48,0.021479120943695307,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
49,0.021473285974934697,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
50,0.02269558305852115,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
51,0.02162040490657091,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
52,0.021583755034953356,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
53,0.02122668386436999,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
54,0.021588430972769856,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
55,0.021415428025647998,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
56,0.021582843968644738,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
57,0.021616411162540317,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
58,0.021669829031452537,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
59,0.02137806499376893,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
60,0.02110054693184793,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
61,0.022022927878424525,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
62,0.021489507984369993,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
63,0.021471397019922733,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
64,0.02133520715869963,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
65,0.021520752925425768,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
66,0.02142589190043509,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
67,0.021553512196987867,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
68,0.021594413090497255,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
69,0.02155031100846827,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
70,0.021362932166084647,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
71,0.021613509161397815,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
72,0.021664981031790376,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
73,0.021393030881881714,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
74,0.023160890908911824,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
75,0.021609861869364977,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
76,0.0217804869171232,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
77,0.021651801886036992,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
78,0.02152179996483028,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
79,0.02166122104972601,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
80,0.021313722943887115,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
81,0.021821810863912106,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
82,0.021419295808300376,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
83,0.02162791113369167,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
84,0.022401458816602826,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
85,0.021907438058406115,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
86,0.021733877947553992,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
87,0.0216720849275589,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
88,0.02139153005555272,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
89,0.021639090031385422,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
90,0.02222372917458415,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
91,0.021313166012987494,627.18359375,0.57421875,GradientShap,vit-b-16,ImageNet,1
