image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.02041172212921083,628.2490234375,0.57421875,GradientShap,vit-b-16,STL10,1
1,0.02253201906569302,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
2,0.021892980905249715,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
3,0.021656577941030264,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
4,0.02251276816241443,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
5,0.021302375942468643,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
6,0.02207410102710128,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
7,0.02154679805971682,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
8,0.021534890867769718,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
9,0.021501671988517046,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
10,0.02103501814417541,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
11,0.02111668116413057,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
12,0.021066497080028057,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
13,0.020813528914004564,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
14,0.02123363991267979,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
15,0.02131833299063146,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
16,0.02108875196427107,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
17,0.021410093875601888,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
18,0.021055544028058648,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
19,0.021010462194681168,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
20,0.020946941105648875,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
21,0.021051252027973533,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
22,0.021106268046423793,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
23,0.02114483597688377,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
24,0.021419541910290718,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
25,0.0210443080868572,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
26,0.02135700499638915,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
27,0.02087167208082974,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
28,0.021094453986734152,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
29,0.02109033497981727,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
30,0.021222718060016632,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
31,0.021131201880052686,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
32,0.02278844895772636,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
33,0.021802262868732214,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
34,0.02115137199871242,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
35,0.021282219095155597,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
36,0.021609801799058914,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
37,0.02145109698176384,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
38,0.021104529034346342,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
39,0.02111701318062842,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
40,0.021280049113556743,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
41,0.021039659855887294,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
42,0.021713958121836185,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
43,0.022269716020673513,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
44,0.02236111112870276,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
45,0.022486814064905047,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
46,0.022245414089411497,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
47,0.022841872181743383,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
48,0.021488056052476168,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
49,0.021139797056093812,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
50,0.021242252085357904,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
51,0.02210217504762113,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
52,0.02161750989034772,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
53,0.02105194516479969,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
54,0.021253864048048854,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
55,0.021340979961678386,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
56,0.021354253869503736,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
57,0.021051984978839755,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
58,0.02107047801837325,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
59,0.02126544201746583,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
60,0.021378188161179423,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
61,0.021012937184423208,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
62,0.021512845065444708,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
63,0.021565906004980206,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
64,0.021543149137869477,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
65,0.021428117994219065,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
66,0.02100847801193595,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
67,0.021347055910155177,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
68,0.02086394210346043,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
69,0.021437505027279258,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
70,0.02120330696925521,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
71,0.021301506087183952,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
72,0.021264794981107116,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
73,0.02129966299980879,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
74,0.021340782986953855,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
75,0.021436634939163923,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
76,0.02115373103879392,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
77,0.020960750989615917,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
78,0.02125045913271606,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
79,0.020974625134840608,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
80,0.021352665033191442,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
81,0.021289465948939323,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
82,0.021245206939056516,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
83,0.021526538068428636,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
84,0.02117723016999662,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
85,0.021496412809938192,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
86,0.021358730038627982,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
87,0.022263352992013097,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
88,0.021867374889552593,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
89,0.02143018413335085,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
90,0.021066900109872222,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
91,0.02108750003390014,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
92,0.02104114298708737,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
93,0.021074058022350073,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
94,0.020927660167217255,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
95,0.020855819107964635,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
96,0.020945301977917552,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
97,0.02099692402407527,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
98,0.02106250706128776,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
99,0.02142821904271841,627.0927734375,0.57421875,GradientShap,vit-b-16,STL10,1
