image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.24042130634188652,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
1,0.18650109320878983,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
2,0.19140952080488205,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
3,0.19162055104970932,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
4,0.1873861439526081,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
5,0.18260234221816063,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
6,0.19190096855163574,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
7,0.19097896665334702,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
8,0.19261327758431435,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
9,0.18888061493635178,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
10,0.18412815406918526,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
11,0.19820990785956383,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
12,0.18747715651988983,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
13,0.19030223786830902,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
14,0.1891711764037609,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
15,0.18359611183404922,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
16,0.1832982785999775,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
17,0.18943653628230095,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
18,0.19147899746894836,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
19,0.19114090874791145,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
20,0.18371199071407318,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
21,0.19752902165055275,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
22,0.1892329379916191,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
23,0.19036617502570152,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
24,0.1905951276421547,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
25,0.19120919331908226,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
26,0.18847671151161194,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
27,0.18983455747365952,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
28,0.19153815880417824,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
29,0.19031425192952156,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
30,0.18868473544716835,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
31,0.18970631062984467,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
32,0.19107453897595406,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
33,0.19099074974656105,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
34,0.1920795515179634,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
35,0.19025419652462006,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
36,0.19679468497633934,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
37,0.1900680549442768,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
38,0.19075819849967957,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
39,0.19214100763201714,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
40,0.19210614264011383,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
41,0.19665229320526123,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
42,0.18910501152276993,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
43,0.18994584679603577,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
44,0.19140508025884628,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
45,0.21760079264640808,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
46,0.1854468397796154,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
47,0.1850862354040146,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
48,0.1905958652496338,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
49,0.19073133170604706,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
50,0.19178753718733788,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
51,0.18657254055142403,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
52,0.18275213614106178,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
53,0.18606703355908394,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
54,0.1915859840810299,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
55,0.18855766206979752,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
56,0.1821947954595089,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
57,0.18342803046107292,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
58,0.18336395174264908,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
59,0.19003742188215256,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
60,0.1905285194516182,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
61,0.1871378794312477,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
62,0.18603446334600449,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
63,0.1948557309806347,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
64,0.19020921364426613,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
65,0.19221092760562897,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
66,0.18756172806024551,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
67,0.1918177492916584,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
68,0.20271068066358566,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
69,0.19044574722647667,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
70,0.1921525038778782,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
71,0.18590562790632248,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
72,0.18354115635156631,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
73,0.19478926807641983,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
74,0.19122333452105522,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
75,0.19088268280029297,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
76,0.1844186894595623,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
77,0.1943918764591217,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
78,0.19188068807125092,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
79,0.19155094772577286,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
80,0.1911587230861187,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
81,0.18599901348352432,114.9560546875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
