image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.00942323193885386,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
1,0.009291802067309618,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
2,0.009295513853430748,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
3,0.00939699704758823,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
4,0.009205960901454091,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
5,0.00922698201611638,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
6,0.009233783930540085,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
7,0.009647294878959656,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
8,0.010310590034350753,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
9,0.010581358103081584,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
10,0.010243417927995324,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
11,0.010219905991107225,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
12,0.010492198867723346,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
13,0.010220074793323874,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
14,0.010130143025889993,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
15,0.010199005948379636,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
16,0.010497573995962739,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
17,0.01020052912645042,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
18,0.01011605397798121,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
19,0.010327539872378111,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
20,0.010289076017215848,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
21,0.010267378995195031,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
22,0.010160437086597085,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
23,0.010361229069530964,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
24,0.010171456960961223,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
25,0.010188679210841656,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
26,0.010206765029579401,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
27,0.010194375878199935,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
28,0.010182349942624569,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
29,0.01023218291811645,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
30,0.01021693111397326,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
31,0.010327431140467525,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
32,0.010165656916797161,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
33,0.010172485141083598,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
34,0.010111212963238358,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
35,0.010322307934984565,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
36,0.009709129109978676,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
37,0.009395522996783257,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
38,0.009501299122348428,116.8466796875,0.57421875,GuidedBackprop,convnext-t,CIFAR10,1
