image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.010251192841678858,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
1,0.01029621995985508,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
2,0.010480744997039437,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
3,0.010455806972458959,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
4,0.00975348288193345,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
5,0.009685937082394958,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
6,0.009544484782963991,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
7,0.009583541192114353,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
8,0.009534338023513556,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
9,0.009451152989640832,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
10,0.0094763720408082,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
11,0.009543839143589139,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
12,0.010308807017281651,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
13,0.009492293931543827,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
14,0.009469429031014442,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
15,0.00955256400629878,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
16,0.00941449892707169,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
17,0.009627901017665863,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
18,0.00940773799084127,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
19,0.009417802095413208,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
20,0.009334831032902002,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
21,0.009586568921804428,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
22,0.009312097914516926,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
23,0.00935026304796338,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
24,0.009411939885467291,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
25,0.009463534923270345,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
26,0.009457000996917486,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
27,0.009387003956362605,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
28,0.009428102057427168,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
29,0.009480010950937867,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
30,0.00947834481485188,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
31,0.009386694058775902,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
32,0.009460372850298882,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
33,0.009428182151168585,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
34,0.009404412005096674,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
35,0.009424329036846757,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
36,0.0100284309592098,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
37,0.009486225200816989,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
38,0.009413474006578326,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
39,0.0095658078789711,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
40,0.009387261001393199,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
41,0.009593965951353312,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
42,0.009424495045095682,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
43,0.00959492614492774,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
44,0.009463788941502571,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
45,0.00944462907500565,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
46,0.009464719099923968,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
47,0.009439099114388227,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
48,0.009479528991505504,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
49,0.00949590397067368,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
50,0.009788739029318094,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
51,0.00941563118249178,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
52,0.009526574052870274,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
53,0.009493113961070776,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
54,0.009425404947251081,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
55,0.009418169036507607,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
56,0.009460431057959795,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
57,0.01059207716025412,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
58,0.009644316043704748,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
59,0.009594823932275176,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
60,0.009471126133576035,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
61,0.009487514849752188,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
62,0.009487468982115388,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
63,0.009516763035207987,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
64,0.009651289088651538,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
65,0.00971507397480309,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
66,0.00956564606167376,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
67,0.009521408006548882,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
68,0.009452023077756166,114.1201171875,0.57421875,GuidedBackprop,convnext-t,ImageNet,1
