image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.23422272875905037,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
1,0.19486603140830994,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
2,0.1906682699918747,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
3,0.1833861656486988,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
4,0.184944499284029,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
5,0.19277271628379822,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
6,0.19184110313653946,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
7,0.191048264503479,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
8,0.18606586381793022,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
9,0.1897251196205616,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
10,0.19187429547309875,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
11,0.19200679287314415,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
12,0.18974662572145462,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
13,0.18447037786245346,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
14,0.1847776435315609,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
15,0.1918385773897171,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
16,0.192611426115036,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
17,0.18824227899312973,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
18,0.20595457032322884,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
19,0.19041964784264565,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
20,0.19902459532022476,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
21,0.1914091370999813,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
22,0.18932145461440086,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
23,0.18587270751595497,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
24,0.1986554116010666,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
25,0.19063258171081543,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
26,0.19253135472536087,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
27,0.18571866676211357,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
28,0.18373407796025276,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
29,0.1961193047463894,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
30,0.19137275218963623,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
31,0.19200940430164337,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
32,0.1873360611498356,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
33,0.18473253026604652,117.53271484375,0.57421875,GuidedBackprop,convnext-t,STL10,1
