image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.11474189907312393,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
1,0.12822839990258217,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
2,0.1438283622264862,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
3,0.11219030991196632,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
4,0.17110946401953697,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
5,0.11913597583770752,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
6,0.15267319604754448,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
7,0.12606706470251083,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
8,0.16567028686404228,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
9,0.1231815554201603,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
10,0.1338203139603138,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
11,0.12019073590636253,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
12,0.14243849366903305,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
13,0.126070536673069,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
14,0.14787163212895393,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
15,0.1540132649242878,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
16,0.12581504881381989,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
17,0.14329160749912262,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
18,0.11322745680809021,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
19,0.1455976665019989,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
20,0.13804742693901062,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
21,0.1297350786626339,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
22,0.13782096281647682,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
23,0.13502707704901695,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
24,0.12889333069324493,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
25,0.11017103120684624,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
26,0.12320687621831894,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
27,0.10683869197964668,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
28,0.12448516860604286,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
29,0.1296713575720787,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
30,0.15387294068932533,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
31,0.1636689491569996,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
32,0.14669989421963692,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
33,0.12321966513991356,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
34,0.10588710755109787,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
35,0.1571579985320568,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
36,0.12370150163769722,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
37,0.12206776812672615,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
38,0.12052901461720467,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
39,0.16836939752101898,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
40,0.13015970215201378,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
41,0.15152308344841003,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
42,0.13016485422849655,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
43,0.12182759121060371,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
44,0.11799580603837967,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
45,0.10747143998742104,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
46,0.11280974373221397,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
47,0.10387709364295006,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
48,0.1215776838362217,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
49,0.15609479323029518,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
50,0.12620972841978073,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
51,0.11998903006315231,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
52,0.10546885803341866,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
53,0.12117529287934303,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
54,0.1510373130440712,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
55,0.1065317653119564,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
56,0.14854244887828827,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
57,0.1454688459634781,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
58,0.12647924944758415,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
59,0.1255873367190361,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
60,0.15263763070106506,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
61,0.12501826137304306,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
62,0.11706528812646866,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
63,0.13086185604333878,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
64,0.15760155767202377,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
65,0.12475303560495377,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
66,0.15693996846675873,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
67,0.16292112693190575,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
68,0.12371107190847397,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
69,0.1768363118171692,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
70,0.17377205938100815,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
71,0.11611908301711082,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
72,0.15847011655569077,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
73,0.11809695512056351,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
74,0.11402002722024918,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
75,0.12440212443470955,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
76,0.11398270353674889,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
77,0.17431028559803963,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
78,0.14506923407316208,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
79,0.11741181463003159,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
80,0.11137543618679047,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
81,0.14694128185510635,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
82,0.10963495075702667,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
83,0.12317436560988426,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
84,0.16390451043844223,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
85,0.15197117254137993,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
86,0.10916702076792717,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
87,0.11958898603916168,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
88,0.17945576831698418,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
89,0.16545980796217918,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
90,0.11931921914219856,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
91,0.17801864445209503,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
92,0.1500614620745182,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
93,0.16161509230732918,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
94,0.12204524502158165,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
95,0.11834142357110977,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
96,0.15086127817630768,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
97,0.1229170635342598,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
98,0.15588627010583878,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
99,0.1730726771056652,130.462890625,0.57421875,GuidedBackprop,densenet121,CIFAR10,1
