image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.10587407648563385,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
1,0.12966682389378548,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
2,0.11018699035048485,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
3,0.10778973251581192,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
4,0.12979114800691605,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
5,0.11708109080791473,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
6,0.1119837649166584,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
7,0.15509656444191933,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
8,0.1126365102827549,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
9,0.1110389307141304,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
10,0.14156125485897064,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
11,0.11275409162044525,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
12,0.15600576996803284,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
13,0.12187787890434265,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
14,0.14498132094740868,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
15,0.1085670106112957,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
16,0.15197953954339027,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
17,0.11614570394158363,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
18,0.1499403864145279,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
19,0.11630204319953918,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
20,0.13790210336446762,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
21,0.11440154537558556,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
22,0.16965530067682266,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
23,0.12867416813969612,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
24,0.12089467793703079,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
25,0.10827384889125824,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
26,0.11276986077427864,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
27,0.14976104721426964,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
28,0.14140698313713074,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
29,0.12177272140979767,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
30,0.5195323079824448,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
31,0.13658590242266655,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
32,0.12519416585564613,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
33,0.14575759321451187,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
34,0.13790806010365486,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
35,0.10909692943096161,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
36,0.11473315209150314,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
37,0.14507297053933144,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
38,0.108017198741436,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
39,0.13634416088461876,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
40,0.11613437533378601,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
41,0.10633020102977753,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
42,0.13559738919138908,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
43,0.10490934178233147,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
44,0.10479306057095528,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
45,0.10352322086691856,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
46,0.13471921905875206,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
47,0.10829763486981392,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
48,0.10800398513674736,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
49,0.11861974000930786,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
50,0.14927638322114944,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
51,0.1418130062520504,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
52,0.10395148023962975,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
53,0.10088624805212021,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
54,0.11344301700592041,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
55,0.136501744389534,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
56,0.10616569593548775,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
57,0.10683078318834305,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
58,0.13978898897767067,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
59,0.09969018772244453,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
60,0.12341228500008583,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
61,0.15174414217472076,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
62,0.11451617255806923,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
63,0.152303297072649,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
64,0.11119399219751358,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
65,0.1508958898484707,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
66,0.11431845650076866,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
67,0.13913675770163536,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
68,0.12072285637259483,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
69,0.13102053478360176,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
70,0.11475250124931335,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
71,0.1043977439403534,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
72,0.12398042529821396,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
73,0.14944545924663544,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
74,0.125837042927742,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
75,0.15061917155981064,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
76,0.16104130446910858,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
77,0.10771205648779869,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
78,0.13048993423581123,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
79,0.12536116316914558,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
80,0.125687163323164,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
81,0.14485955610871315,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
82,0.12241217121481895,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
83,0.14280099049210548,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
84,0.1319728046655655,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
85,0.11853106692433357,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
86,0.11460749432444572,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
87,0.12252522259950638,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
88,0.14173194766044617,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
89,0.13771327957510948,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
90,0.10925950482487679,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
91,0.10553347319364548,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
92,0.10958905145525932,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
93,0.10985346883535385,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
94,0.11688272282481194,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
95,0.11041057109832764,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
96,0.13227134197950363,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
97,0.12207482382655144,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
98,0.13073784485459328,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
99,0.11757778376340866,127.591796875,0.57421875,GuidedBackprop,densenet121,ImageNet,1
