image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04014580603688955,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
1,0.04007392888888717,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
2,0.039500914979726076,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
3,0.0402143478859216,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
4,0.039157778955996037,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
5,0.03970451280474663,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
6,0.03990457789041102,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
7,0.039358329959213734,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
8,0.03945010295137763,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
9,0.039123479975387454,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
10,0.0399895990267396,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
11,0.039876851020380855,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
12,0.04073445009998977,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
13,0.03920000488869846,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
14,0.03964822506532073,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
15,0.03960381611250341,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
16,0.04008962889201939,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
17,0.0403158029075712,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
18,0.039421323919668794,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
19,0.03950841096229851,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
20,0.03889401606284082,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
21,0.04019907698966563,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
22,0.038895327830687165,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
23,0.03926096996292472,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
24,0.039385075913742185,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
25,0.03948640706948936,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
26,0.039120945846661925,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
27,0.039085160940885544,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
28,0.03910908894613385,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
29,0.039150879019871354,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
30,0.03921848605386913,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
31,0.039107433054596186,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
32,0.03883692808449268,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
33,0.03923529991880059,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
34,0.039150557946413755,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
35,0.039083834970369935,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
36,0.039267229149118066,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
37,0.03900680295191705,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
38,0.0392416890244931,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
39,0.03948634606786072,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
40,0.03987676207907498,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
41,0.038778636837378144,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
42,0.04000491206534207,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
43,0.03900265018455684,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
44,0.03928798995912075,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
45,0.03959201695397496,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
46,0.038960027042776346,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
47,0.03925159410573542,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
48,0.039021929958835244,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
49,0.03979912819340825,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
50,0.03935744590125978,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
51,0.03962520300410688,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
52,0.039139446103945374,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
53,0.04651578399352729,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
54,0.04009998613037169,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
55,0.04004856199026108,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
56,0.039364992873743176,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
57,0.03940523695200682,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
58,0.04031924088485539,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
59,0.03918207809329033,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
60,0.03962187492288649,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
61,0.03910996508784592,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
62,0.03982803295366466,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
63,0.041405146941542625,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
64,0.04004896502010524,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
65,0.04009729693643749,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
66,0.03976763505488634,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
67,0.04118827707134187,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
68,0.04036231408827007,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
69,0.039873011875897646,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
70,0.03941143909469247,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
71,0.03997819893993437,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
72,0.04044327512383461,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
73,0.14275997783988714,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
74,0.03965397900901735,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
75,0.040245735086500645,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
76,0.04029456712305546,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
77,0.03958269814029336,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
78,0.039435314014554024,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
79,0.039431313052773476,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
80,0.03914436302147806,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
81,0.03951001609675586,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
82,0.040107714012265205,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
83,0.04000710416585207,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
84,0.03997198399156332,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
85,0.041192245902493596,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
86,0.040440917015075684,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
87,0.04102145694196224,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
88,0.042675517965108156,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
89,0.040016534039750695,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
90,0.0402649340685457,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
91,0.03985369997099042,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
92,0.0398143520578742,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
93,0.041196518111974,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
94,0.0399391979444772,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
95,0.04046138096600771,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
96,0.040091357892379165,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
97,0.03973980597220361,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
98,0.043781237909570336,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
99,0.041061379946768284,254.62548828125,0.57421875,GuidedBackprop,densenet121,STL10,1
