image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.030567072331905365,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
1,0.043726954609155655,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
2,0.032409194856882095,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
3,0.030175458639860153,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
4,0.031444597989320755,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
5,0.03145388513803482,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
6,0.03763565793633461,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
7,0.03212665393948555,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
8,0.0307161808013916,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
9,0.031080376356840134,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
10,0.03649017587304115,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
11,0.031316936016082764,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
12,0.03167436644434929,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
13,0.03203084319829941,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
14,0.0335867777466774,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
15,0.03135015815496445,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
16,0.03191027045249939,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
17,0.036629967391490936,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
18,0.031577691435813904,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
19,0.03184330090880394,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
20,0.034593306481838226,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
21,0.032707128673791885,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
22,0.03086252510547638,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
23,0.03302578628063202,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
24,0.031992971897125244,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
25,0.028845585882663727,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
26,0.028393875807523727,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
27,0.031394679099321365,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
28,0.03451821208000183,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
29,0.03314243629574776,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
30,0.028195247054100037,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
31,0.03013475239276886,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
32,0.027493327856063843,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
33,0.03085845708847046,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
34,0.028693396598100662,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
35,0.029358789324760437,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
36,0.03150709345936775,85.5556640625,0.57421875,GuidedBackprop,efficientnet-b0,CIFAR10,1
