image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.026317600160837173,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
1,0.02638808637857437,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
2,0.032789938151836395,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
3,0.029888834804296494,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
4,0.028460096567869186,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
5,0.027309149503707886,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
6,0.029108408838510513,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
7,0.026493892073631287,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
8,0.027323570102453232,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
9,0.0267954021692276,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
10,0.02666456252336502,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
11,0.026160813868045807,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
12,0.026353832334280014,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
13,0.026255834847688675,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
14,0.02739034593105316,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
15,0.03154594823718071,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
16,0.028398625552654266,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
17,0.03574700653553009,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
18,0.035828132182359695,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
19,0.02762870490550995,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
20,0.027525171637535095,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
21,0.029687389731407166,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
22,0.02708129584789276,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
23,0.03166677802801132,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
24,0.031996697187423706,84.8876953125,0.57421875,GuidedBackprop,efficientnet-b0,STL10,1
