image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.060884200036525726,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
1,0.05696089193224907,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
2,0.04935045912861824,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
3,0.04861152917146683,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
4,0.048735521733760834,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
5,0.04557286202907562,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
6,0.044231608510017395,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
7,0.043250422924757004,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
8,0.039997439831495285,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
9,0.044620636850595474,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
10,0.044666141271591187,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
11,0.04025643318891525,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
12,0.0406101755797863,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
13,0.054187387228012085,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
14,0.046205028891563416,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
15,0.046146731823682785,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
16,0.040758535265922546,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
17,0.04424665868282318,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
18,0.045212358236312866,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
19,0.0521586649119854,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
20,0.046641238033771515,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
21,0.046816833317279816,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
22,0.045722756534814835,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
23,0.040865980088710785,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
24,0.04460873082280159,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
25,0.05960983783006668,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
26,0.06946204230189323,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
27,0.043924156576395035,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
28,0.04594423621892929,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
29,0.04523877054452896,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
30,0.047741878777742386,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
31,0.04631665349006653,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
32,0.0452660471200943,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
33,0.052268460392951965,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
34,0.04696600139141083,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
35,0.04561666399240494,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
36,0.047387074679136276,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
37,0.047487273812294006,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
38,0.05356587469577789,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
39,0.06191854178905487,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
40,0.055128611624240875,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
41,0.046387191861867905,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
42,0.047324880957603455,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
43,0.046630263328552246,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
44,0.04718108847737312,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
45,0.046634841710329056,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
46,0.04588216170668602,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
47,0.052048832178115845,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
48,0.05172716826200485,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
49,0.05971214547753334,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
50,0.048147108405828476,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
51,0.046346548944711685,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
52,0.05593225359916687,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
53,0.04945525527000427,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
54,0.047639183700084686,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
55,0.05093904584646225,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
56,0.04187324643135071,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
57,0.04946349933743477,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
58,0.04608851298689842,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
59,0.054977305233478546,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
60,0.06099551543593407,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
61,0.047654375433921814,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
62,0.049538202583789825,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
63,0.05337139964103699,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
64,0.05391174927353859,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
65,0.06192462146282196,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
66,0.05574954301118851,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
67,0.0553327240049839,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
68,0.05537869408726692,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
69,0.06022614240646362,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
70,0.05710728093981743,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
71,0.04882514476776123,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
72,0.05055523291230202,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
73,0.04431214556097984,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
74,0.049103476107120514,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
75,0.04234414920210838,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
76,0.04794034734368324,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
77,0.04774177446961403,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
78,0.04504413902759552,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
79,0.04552295058965683,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
80,0.050069455057382584,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
81,0.045276474207639694,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
82,0.04767270386219025,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
83,0.05366797745227814,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
84,0.06600665673613548,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
85,0.053072936832904816,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
86,0.04737439006567001,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
87,0.04904253035783768,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
88,0.053199395537376404,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
89,0.054740142077207565,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
90,0.04598313570022583,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
91,0.05616964027285576,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
92,0.04675323888659477,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
93,0.05405523627996445,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
94,0.05598336458206177,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
95,0.05401286110281944,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
96,0.06472247466444969,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
97,0.06197695806622505,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
98,0.04803141579031944,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
99,0.051326073706150055,84.859375,0.57421875,GuidedBackprop,resnet50,STL10,1
