image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.06714316457509995,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
1,0.06962664425373077,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
2,0.07413674518465996,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
3,0.07557308301329613,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
4,0.07045913487672806,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
5,0.07021430879831314,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
6,0.0695359967648983,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
7,0.06941547989845276,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
8,0.06991317495703697,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
9,0.06955206021666527,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
10,0.06912649795413017,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
11,0.07307842746376991,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
12,0.0699026770889759,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
13,0.06952179223299026,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
14,0.0709146186709404,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
15,0.07091029360890388,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
16,0.0706443153321743,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
17,0.06995105743408203,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
18,0.06935761496424675,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
19,0.0687347948551178,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
20,0.06842784583568573,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
21,0.06870420649647713,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
22,0.06488542258739471,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
23,0.07108091190457344,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
24,0.07085801661014557,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
25,0.07084257155656815,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
26,0.06935123354196548,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
27,0.0696127787232399,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
28,0.07029125839471817,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
29,0.06977031379938126,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
30,0.07035870105028152,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
31,0.07255440950393677,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
32,0.0720222070813179,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
33,0.07108547165989876,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
34,0.07284807786345482,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
35,0.07048117741942406,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
36,0.07728725671768188,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
37,0.06906446814537048,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
38,0.07476376369595528,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
39,0.06884713098406792,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
40,0.0763477310538292,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
41,0.07254806160926819,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
42,0.07109928876161575,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
43,0.06925398483872414,116.80224609375,0.57421875,GuidedBackprop,vit-b-16,ImageNet,1
